cell.no.,nest,X_new,Y_new,X,Y,Slice,contents,contents.new,stages,Remark,cell_ed,FL_freq
1,v87,7.758,8.167,7.758,1.533,13,E,E,E,,3.0317302,NA
2,v87,8.149,8.167,8.149,1.533,13,E,E,E,,2.9958448,NA
3,v87,8.674,8.105,8.674,1.595,13,E,E,E,,2.9661507,NA
4,v87,9.116,7.961,9.116,1.739,12,E,E,E,,2.9260768,0
5,v87,9.528,7.827,9.528,1.873,12,E,E,E,,2.9550333,0
6,v87,9.95,7.611,9.95,2.089,12,E,E,E,,2.9842148,0
7,v87,7.913,7.858,7.913,1.842,12,E,E,E,,2.7044018,NA
8,v87,8.324,7.755,8.324,1.945,12,E,E,E,,2.5844532,0
9,v87,8.746,7.632,8.746,2.068,13,E,E,E,,2.513266,0
10,v87,9.23,7.539,9.23,2.161,13,P,P,P,,2.5692972,NA
11,v87,9.621,7.333,9.621,2.367,13,L,P,P,,2.5697132,0
12,v87,10.073,7.169,10.073,2.531,13,L,P,P,,2.717218,0
13,v87,10.567,6.973,10.567,2.727,13,P,P,P,,2.9502178,0
14,v87,7.563,7.539,7.563,2.161,13,E,E,i1,,2.4589662,NA
15,v87,7.964,7.477,7.964,2.223,13,E,E,E,,2.3200577,0
16,v87,8.396,7.364,8.396,2.336,13,L,L,i2,,2.1980165,4
17,v87,8.87,7.272,8.87,2.428,13,P,P,P,,2.1950871,NA
18,v87,9.23,7.014,9.23,2.686,13,L,L,i1,,2.0956691,6
19,v87,9.693,6.881,9.693,2.819,13,E,E,E,,2.2494196,0
20,v87,10.135,6.726,10.135,2.974,13,E,E,E,,2.4582043,0
21,v87,10.629,6.603,10.629,3.097,13,L,L,i5,,2.7931616,8
22,v87,10.999,6.5,10.999,3.2,13,E,L,i1,,3.0707836,0
23,v87,7.666,7.107,7.666,2.593,3,E,L,i1,,2.0153053,1
24,v87,8.098,7.014,8.098,2.686,3,L,L,i4,,1.8464783,2
25,v87,8.551,6.922,8.551,2.778,3,P,P,P,,1.7789294,NA
26,v87,8.942,6.675,8.942,3.025,1,E,E,E,,1.6628433,0
27,v87,9.384,6.5,9.384,3.2,1,L,L,i2,,1.759089,9
28,v87,9.847,6.325,9.847,3.375,1,L,L,i3,,1.9857459,8
29,v87,10.361,6.222,10.361,3.478,1,P,P,P,,2.3754363,NA
30,v87,10.763,6.119,10.763,3.581,3,L,L,i5,,2.7040535,6
31,v87,11.205,6.037,11.205,3.663,3,E,L,i1,,3.0980332,1
32,v87,7.316,6.829,7.316,2.871,31,E,E,E,,1.8921922,NA
33,v87,7.769,6.695,7.769,3.005,31,E,E,E,,1.5910287,0
34,v87,8.19,6.541,8.19,3.159,31,L,L,i5,,1.3693341,13
35,v87,8.612,6.356,8.612,3.344,31,L,L,i3,,1.243826,10
36,v87,9.024,6.202,9.024,3.498,35,L,L,i3,,1.3002514,11
37,v87,9.549,6.068,9.549,3.632,35,P,P,P,,1.59432,0
38,v87,9.991,5.883,9.991,3.817,34,E,E,i1,,1.8989274,1
39,v87,10.495,5.79,10.495,3.91,34,P,P,P,,2.3476323,NA
40,v87,10.958,5.677,10.958,4.023,34,L,L,i5,,2.7742027,4
41,v87,11.38,5.574,11.38,4.126,34,E,L,i1,,3.1754153,1
42,v87,7.357,6.366,7.357,3.334,37,L,L,i5,,1.478965,1
43,v87,7.841,6.222,7.841,3.478,37,P,P,P,,1.1195393,0
44,v87,8.283,6.058,8.283,3.642,37,E,E,E,,0.887325,0
45,v87,8.705,5.913,8.705,3.787,37,L,L,i3,,0.8799061,4
46,v87,9.219,5.708,9.219,3.992,37,P,P,P,,1.1246979,NA
47,v87,9.693,5.584,9.693,4.116,37,P,P,P,,1.5197395,0
48,v87,10.166,5.399,10.166,4.301,37,P,P,P,,1.9491326,0
49,v87,10.67,5.327,10.67,4.373,37,L,L,i5,,2.4448011,6
50,v87,11.133,5.183,11.133,4.517,37,L,L,i5,,2.9029186,7
51,v87,11.534,5.09,11.534,4.61,37,E,E,i1,,3.3049225,2
52,v87,6.976,6.068,6.976,3.632,37,L,L,i5,,1.5411464,3
53,v87,7.46,5.893,7.46,3.807,37,P,P,P,,1.0547663,0
54,v87,7.943,5.697,7.943,4.003,39,E,E,E,,0.5981525,0
55,v87,8.386,5.553,8.386,4.147,40,L,L,i3,,0.4114275,4
56,v87,8.808,5.409,8.808,4.291,40,E,E,E,,0.6245126,0
57,v87,9.291,5.255,9.291,4.445,40,E,E,E,,1.0641208,0
58,v87,9.785,5.111,9.785,4.589,40,L,E,E,,1.5561048,0
59,v87,10.31,4.977,10.31,4.723,40,P,P,P,,2.0890435,NA
60,v87,10.773,4.833,10.773,4.867,40,L,P,P,,2.5654291,0
61,v87,11.236,4.71,11.236,4.99,40,L,L,i3,,3.0412342,4
62,v87,11.596,4.627,11.596,5.073,40,L,L,i1,,3.4097764,0
63,v87,11.751,4.946,11.751,4.754,40,X,X,X,,3.5281608,0
64,v87,11.771,4.566,11.771,5.134,40,E,E,E,,3.5924235,NA
65,v87,6.729,5.595,6.729,4.105,40,E,E,E,,1.5594935,NA
66,v87,7.028,5.595,7.028,4.105,40,P,P,P,,1.2742693,NA
67,v87,7.614,5.42,7.614,4.28,40,L,L,i1,,0.6640476,0
68,v87,8.046,5.224,8.046,4.476,40,L,L,i5,,0.1912355,8
69,v87,8.468,5.08,8.468,4.62,43,E,E,E,,0.2551597,0
70,v87,8.942,4.936,8.942,4.764,43,E,E,E,,0.7500769,0
71,v87,9.446,4.782,9.446,4.918,43,E,E,E,,1.2769915,0
72,v87,9.95,4.617,9.95,5.083,43,P,P,P,,1.8073068,NA
73,v87,10.444,4.463,10.444,5.237,43,P,P,P,,2.3247339,NA
74,v87,10.866,4.329,10.866,5.371,43,L,L,i5,,2.7674967,5
75,v87,11.308,4.175,11.308,5.525,44,L,L,i3,,3.2354249,5
76,v87,11.586,4.113,11.586,5.587,48,E,E,E,,3.5191012,NA
77,v87,6.524,5.348,6.524,4.352,48,E,E,E,,1.7151293,NA
78,v87,6.781,5.255,6.781,4.445,48,L,L,i2,,1.4514619,0
79,v87,7.223,5.08,7.223,4.62,47,E,E,i1,,1.0113178,6
80,v87,7.594,4.885,7.594,4.815,49,P,P,P,,0.6979536,0
81,v87,8.17,4.761,8.17,4.939,50,E,E,E,,0.4156216,0
82,v87,8.695,4.576,8.695,5.124,51,P,P,P,,0.7560745,NA
83,v87,9.096,4.442,9.096,5.258,51,P,P,P,,1.1327181,NA
84,v87,9.59,4.236,9.59,5.464,52,P,P,P,,1.6510283,NA
85,v87,10.125,4.082,10.125,5.618,52,P,P,P,,2.1861595,NA
86,v87,10.557,3.938,10.557,5.762,52,L,L,i4,,2.6339777,9
87,v87,10.969,3.794,10.969,5.906,52,L,L,i3,,3.0661292,5
88,v87,11.38,3.753,11.38,5.947,52,E,E,E,,3.4548722,0
89,v87,11.627,3.763,11.627,5.937,52,E,E,E,,3.6776236,NA
90,v87,6.431,4.751,6.431,4.949,52,E,E,E,,1.8477607,NA
91,v87,6.812,4.73,6.812,4.97,52,L,L,i5,,1.4854626,3
92,v87,7.285,4.586,7.285,5.114,52,P,P,P,,1.1121642,0
93,v87,7.789,4.422,7.789,5.278,52,E,L,i1,,0.8703161,10
94,v87,8.232,4.236,8.232,5.464,52,P,P,P,,0.9362551,NA
95,v87,8.715,4.123,8.715,5.577,52,L,L,i5,,1.1558802,18
96,v87,9.178,3.948,9.178,5.752,52,L,L,i3,,1.5483242,12
97,v87,9.652,3.784,9.652,5.916,52,E,E,i1,,1.9872199,1
98,v87,10.269,3.516,10.269,6.184,52,P,E,E,,2.6268389,0
99,v87,10.722,3.362,10.722,6.338,52,P,P,P,,3.0800285,NA
100,v87,11.133,3.279,11.133,6.421,52,L,L,i1,,3.4657219,1
101,v87,11.493,3.259,11.493,6.441,52,E,E,E,,3.7824656,0
102,v87,6.462,4.308,6.462,5.392,52,L,L,i4,,1.9680233,0
103,v87,6.884,4.226,6.884,5.474,52,L,L,i5,,1.6454129,0
104,v87,7.419,4.092,7.419,5.608,52,E,E,E,,1.3508635,0
105,v87,7.861,3.845,7.861,5.855,52,P,P,P,,1.3776199,NA
106,v87,8.365,3.763,8.365,5.937,56,L,L,i5,,1.4156949,15
107,v87,8.777,3.598,8.777,6.102,56,L,L,i5,,1.6665447,6
108,v87,9.261,3.382,9.261,6.318,56,L,L,i5,,2.0658554,4
109,v87,9.847,3.135,9.847,6.565,56,P,P,P,,2.6009156,NA
110,v87,10.279,3.012,10.279,6.688,56,L,L,i5,,2.9773612,3
111,v87,10.742,2.868,10.742,6.832,56,L,L,i4,,3.4086974,1
112,v87,11.185,2.806,11.185,6.894,58,L,L,i4,,3.7855753,4
113,v87,11.442,2.734,11.442,6.966,58,E,E,E,,4.0325391,NA
114,v87,6.534,3.886,6.534,5.814,59,L,X,X,,2.1286631,0
115,v87,6.987,3.753,6.987,5.947,59,L,L,i5,,1.886685,7
116,v87,7.419,3.506,7.419,6.194,59,P,P,P,,1.8531824,NA
117,v87,7.974,3.465,7.974,6.235,59,L,L,i2,,1.7263549,16
118,v87,8.427,3.228,8.427,6.472,59,L,L,i5,,1.9541979,8
119,v87,8.849,2.971,8.849,6.729,61,P,P,P,,2.2866025,0
120,v87,9.363,2.847,9.363,6.853,61,L,L,i5,,2.586554,5
121,v87,9.909,2.6,9.909,7.1,62,P,P,P,,3.071675,NA
122,v87,10.361,2.467,10.361,7.233,62,L,L,i3,,3.4437079,13
123,v87,10.804,2.374,10.804,7.326,64,L,L,i4,,3.8019962,2
124,v87,11.143,2.281,11.143,7.419,64,E,E,E,,4.1041837,0
125,v87,6.606,3.362,6.606,6.338,69,L,L,i4,,2.43202,1
126,v87,7.069,3.218,7.069,6.482,69,E,E,i1,,2.2731611,1
127,v87,7.48,2.991,7.48,6.709,69,P,P,P,,2.3066247,NA
128,v87,8.015,2.899,8.015,6.801,69,L,L,i1,,2.2834072,9
129,v87,8.468,2.713,8.468,6.987,74,L,L,i5,,2.4707331,11
130,v87,8.962,2.518,8.962,7.182,74,E,L,i1,,2.7533136,3
131,v87,9.425,2.302,9.425,7.398,74,L,L,i3,,3.109041,6
132,v87,9.94,2.168,9.94,7.532,74,L,P,P,,3.4567746,0
133,v87,10.382,2.014,10.382,7.686,74,L,L,i5,,3.8216791,4
134,v87,10.794,1.973,10.794,7.727,77,E,E,E,,4.0998534,0
135,v87,6.657,2.868,6.657,6.832,76,X,L,i1,,2.7900233,2
136,v87,7.141,2.693,7.141,7.007,76,L,P,P,,2.7079213,0
137,v87,7.542,2.467,7.542,7.233,77,P,P,P,,2.7913936,NA
138,v87,8.005,2.384,8.005,7.316,77,P,P,P,,2.7973248,NA
139,v87,8.53,2.199,8.53,7.501,77,E,L,i1,,2.9883396,4
140,v87,9.014,2.034,9.014,7.666,77,L,L,i3,,3.2346762,2
141,v87,9.477,1.839,9.477,7.861,77,L,L,i5,,3.5588387,2
142,v87,9.96,1.746,9.96,7.954,77,L,L,i3,,3.8381975,6
143,v87,10.392,1.664,10.392,8.036,77,E,E,E,,4.1208793,0
