time,wasp_id,cell_id
709,16,6
505,0,14
752,16,15
432,13,16
799,1,17
794,18,18
479,10,19
622,13,23
411,13,24
746,16,25
510,8,26
196,19,27
239,21,28
456,21,31
707,1,32
767,9,33
442,22,34
406,13,35
79,19,36
197,19,37
582,23,38
573,8,39
276,1,42
350,10,43
90,16,44
327,10,45
78,19,46
97,3,47
185,18,48
552,19,49
235,5,52
221,22,53
126,3,54
62,22,55
92,16,56
119,3,57
160,20,58
153,18,59
493,8,60
546,19,61
379,9,64
376,12,65
43,22,66
135,5,67
61,22,68
116,21,69
110,21,70
187,18,71
57,21,72
381,21,73
539,19,74
333,19,75
391,24,77
102,0,78
41,22,79
122,5,80
137,5,81
97,16,82
77,4,83
181,24,84
59,21,85
391,18,86
636,11,87
335,9,88
448,18,89
108,5,90
139,13,91
37,19,92
53,18,93
34,17,94
110,4,95
146,18,96
34,11,97
293,14,98
144,17,102
97,0,103
132,0,104
144,5,105
20,9,106
108,4,107
147,9,108
283,14,109
624,21,110
65,0,114
57,18,115
201,3,116
155,4,117
131,4,118
187,3,119
351,19,120
342,8,121
290,3,125
309,8,126
36,18,127
192,10,128
328,8,129
593,14,130
711,17,131
774,12,132
596,24,135
275,3,136
488,20,137
676,12,138
127,9,139
603,8,140
756,17,141
785,17,142
457,16,144
527,23,145
678,12,146
86,24,147
739,12,148
402,20,149
412,20,150
283,23,152
347,17,153
426,3,154
768,3,155
367,20,156
537,23,157
755,3,158
475,13,7
772,9,8
383,10,11
430,22,14
162,19,15
218,21,16
747,16,17
639,13,18
178,18,19
587,23,20
259,5,23
435,22,24
436,22,25
229,1,26
225,1,27
232,21,28
264,10,29
795,19,32
401,13,33
542,13,34
336,10,35
473,22,36
36,21,37
166,14,38
487,22,39
686,11,40
681,23,42
360,5,43
347,10,44
139,21,45
169,18,46
85,4,47
81,4,48
287,11,49
288,11,50
553,4,51
492,0,53
220,22,54
132,5,55
80,16,56
93,3,57
92,4,58
70,19,59
192,18,60
428,18,61
249,18,62
558,4,63
387,24,64
45,19,65
203,5,66
25,21,67
89,4,68
114,21,69
93,4,70
189,18,71
208,19,72
484,16,73
638,11,74
418,18,75
476,0,76
42,22,77
121,5,78
19,5,79
139,5,80
98,16,81
173,20,82
56,11,83
215,4,84
690,0,85
650,8,88
470,0,89
100,0,90
129,0,91
5,11,92
40,0,93
53,24,94
105,16,95
200,10,96
723,17,97
315,20,100
113,5,101
141,17,102
134,0,103
44,0,104
39,17,105
151,4,106
350,19,107
597,8,108
568,4,111
259,3,112
302,20,113
305,20,114
268,3,115
183,20,116
162,16,117
374,17,118
617,12,119
745,3,120
326,9,121
311,20,122
297,20,123
293,17,124
359,17,125
356,19,126
256,17,127
781,17,128
345,20,130
593,24,131
525,23,132
507,23,133
390,17,134
751,17,135
790,21,136
468,20,138
77,0,139
681,12,140
716,12,141
404,20,142
505,5,1
672,23,2
370,22,3
579,9,4
573,9,5
796,13,7
673,23,8
741,5,9
422,22,10
737,23,11
526,5,12
736,6,13
232,6,14
247,22,15
498,0,16
268,22,19
729,5,20
612,22,21
553,5,22
47,22,23
545,5,24
701,1,25
599,23,26
545,13,27
720,5,28
713,20,29
207,6,30
51,19,31
383,12,32
205,5,33
126,21,34
331,10,35
505,8,36
310,12,37
669,8,38
653,8,39
646,8,40
209,5,41
40,22,42
123,5,43
124,21,44
127,3,45
326,10,46
618,20,47
676,8,48
631,6,49
630,8,50
372,12,51
61,0,52
23,10,53
28,21,54
88,4,55
74,19,56
65,19,57
247,3,58
455,0,59
629,8,60
254,3,61
137,17,62
34,22,63
119,5,64
7,8,65
115,21,66
117,21,67
162,20,68
242,3,69
367,12,70
67,12,71
69,12,72
135,0,73
131,0,74
17,10,75
141,5,76
112,21,77
46,24,78
164,20,79
285,3,80
416,24,81
315,8,82
308,20,83
133,0,84
142,5,85
30,19,86
50,18,87
45,11,88
148,18,89
538,20,90
589,24,91
149,5,92
311,8,93
60,18,94
37,17,95
99,16,96
111,4,97
175,4,98
82,23,99
179,5,100
76,23,101
185,20,102
165,0,103
115,16,104
48,18,105
104,16,106
475,20,107
272,3,108
158,4,109
189,3,110
434,20,111
361,20,112
760,20,113
704,6,114
