giver,receiver,amt,time,bout_id
21,9,2,1,
21,9,2,1,1.0
21,14,2,1,
21,14,2,1,1.0
21,16,2,1,
21,16,2,1,1.0
16,23,2,1,
16,23,2,1,1.0
21,4,2,1,
21,4,2,1,1.0
21,17,2,1,
21,17,2,1,1.0
21,20,2,1,
21,20,2,1,1.0
21,24,2,3,
21,24,2,3,2.0
21,14,2,3,
21,14,2,3,2.0
21,23,1,3,
21,23,1,3,2.0
12,25,2,3,
12,25,2,3,4.0
12,11,2,3,
12,11,2,3,4.0
21,18,2,4,
21,18,2,4,4.0
21,19,1,4,
21,19,1,4,4.0
12,3,2,4,
12,3,2,4,4.0
3,5,2,4,
3,5,2,4,4.0
12,20,2,4,
12,20,2,4,4.0
5,15,2,4,
5,15,2,4,4.0
12,10,2,4,
12,10,2,4,4.0
12,17,2,4,
12,17,2,4,4.0
20,16,2,4,
20,16,2,4,4.0
16,20,2,4,
16,20,2,4,4.0
20,4,2,4,
20,4,2,4,4.0
12,3,2,5,
12,3,2,5,5.0
3,26,2,5,
3,26,2,5,5.0
12,16,2,5,
12,16,2,5,5.0
12,19,1,6,
12,19,1,6,6.0
21,17,2,6,
21,17,2,6,6.0
21,18,1,6,
21,18,1,6,6.0
16,24,2,6,
16,24,2,6,6.0
12,23,2,6,
12,23,2,6,7.0
12,5,2,6,
12,5,2,6,7.0
12,10,1,6,
12,10,1,6,7.0
5,4,2,6,
5,4,2,6,7.0
21,25,2,6,
21,25,2,6,8.0
21,15,2,7,
21,15,2,7,8.0
21,1,2,7,
21,1,2,7,8.0
21,3,2,7,
21,3,2,7,8.0
3,5,2,7,
3,5,2,7,9.0
21,0,2,7,
21,0,2,7,9.0
21,19,2,8,
21,19,2,8,9.0
12,16,2,8,
12,16,2,8,9.0
5,26,2,8,
5,26,2,8,9.0
12,23,1,8,
12,23,1,8,9.0
16,25,2,8,
16,25,2,8,9.0
21,4,2,8,
21,4,2,8,9.0
12,20,2,9,
12,20,2,9,9.0
21,18,1,9,
21,18,1,9,9.0
21,5,2,10,
21,5,2,10,9.0
12,26,2,10,
12,26,2,10,9.0
21,10,2,10,
21,10,2,10,9.0
21,3,2,10,
21,3,2,10,9.0
5,17,2,10,
5,17,2,10,9.0
21,17,2,11,
21,17,2,11,9.0
12,25,2,11,
12,25,2,11,9.0
12,20,2,11,
12,20,2,11,9.0
12,5,2,11,
12,5,2,11,9.0
20,3,2,11,
20,3,2,11,9.0
3,24,2,11,
3,24,2,11,9.0
21,16,2,11,
21,16,2,11,9.0
16,4,2,11,
16,4,2,11,9.0
12,1,2,11,
12,1,2,11,9.0
21,18,2,12,
21,18,2,12,10.0
12,23,2,12,
12,23,2,12,11.0
21,20,2,12,
21,20,2,12,11.0
21,10,2,12,
21,10,2,12,11.0
21,14,2,12,
21,14,2,12,11.0
21,18,2,13,
21,18,2,13,11.0
20,8,2,13,
20,8,2,13,11.0
12,16,2,13,
12,16,2,13,11.0
16,4,2,13,
16,4,2,13,11.0
12,19,2,13,
12,19,2,13,11.0
21,16,2,14,
21,16,2,14,11.0
12,20,2,14,
12,20,2,14,11.0
12,3,2,14,
12,3,2,14,11.0
20,24,2,14,
20,24,2,14,12.0
3,9,2,14,
3,9,2,14,12.0
16,25,2,14,
16,25,2,14,12.0
12,16,2,15,
12,16,2,15,12.0
16,3,2,15,
16,3,2,15,12.0
21,3,2,15,
21,3,2,15,12.0
12,26,1,15,
12,26,1,15,12.0
3,18,2,15,
3,18,2,15,12.0
21,23,2,15,
21,23,2,15,12.0
3,4,2,15,
3,4,2,15,12.0
21,17,2,15,
