wasp_id,cell_id,amt,time,bout_id
12,173,3,2,
12,173,2,3,2.0
4,15,3,2,
4,15,2,3,2.0
33,6,3,2,
33,6,2,3,2.0
22,14,4,2,
22,14,2,4,2.0
25,14,4,2,
25,14,2,4,2.0
0,6,4,2,
0,6,2,4,2.0
4,23,4,2,
4,23,2,4,3.0
8,24,4,2,
8,24,2,4,3.0
33,159,5,2,
33,159,2,5,3.0
27,7,5,2,
27,7,2,5,3.0
2,158,5,2,
2,158,2,5,4.0
11,183,5,2,
11,183,2,5,4.0
3,0,5,2,
3,0,2,5,4.0
37,3,5,2,
37,3,2,5,4.0
19,328,5,2,
19,328,2,5,4.0
13,24,5,2,
13,24,2,5,4.0
44,164,5,2,
44,164,2,5,4.0
12,166,6,2,
12,166,2,6,4.0
8,173,6,2,
8,173,2,6,4.0
2,158,8,2,
2,158,2,8,5.0
33,23,8,2,
33,23,2,8,5.0
11,17,8,2,
11,17,2,8,5.0
8,14,8,2,
8,14,2,8,5.0
15,3,8,2,
15,3,2,8,5.0
0,159,9,2,
0,159,2,9,5.0
6,8,9,2,
6,8,2,9,5.0
12,160,10,2,
12,160,2,10,6.0
27,17,10,2,
27,17,2,10,6.0
36,158,11,1,
36,158,1,11,6.0
6,2,11,2,
6,2,2,11,6.0
11,17,11,2,
11,17,2,11,6.0
28,173,12,2,
28,173,2,12,6.0
12,2,12,2,
12,2,2,12,6.0
27,175,12,2,
27,175,2,12,6.0
44,180,13,2,
44,180,2,13,7.0
0,7,13,2,
0,7,2,13,8.0
20,172,13,2,
20,172,2,13,8.0
14,3,14,2,
14,3,2,14,9.0
26,3,14,2,
26,3,2,14,9.0
12,7,14,2,
12,7,2,14,9.0
11,175,14,2,
11,175,2,14,9.0
35,161,14,2,
35,161,2,14,9.0
36,165,14,2,
36,165,2,14,9.0
27,17,14,2,
27,17,2,14,9.0
6,2,15,1,
6,2,1,15,9.0
18,14,15,2,
18,14,2,15,9.0
20,6,15,2,
20,6,2,15,9.0
0,173,15,2,
0,173,2,15,9.0
36,1,16,2,
36,1,2,16,9.0
27,175,16,2,
27,175,2,16,9.0
21,160,16,2,
21,160,2,16,9.0
12,15,16,2,
12,15,2,16,9.0
26,9,17,2,
26,9,2,17,10.0
13,22,17,2,
13,22,2,17,10.0
11,17,17,2,
11,17,2,17,10.0
23,2,18,2,
23,2,2,18,10.0
11,17,18,2,
11,17,2,18,11.0
12,17,18,2,
12,17,2,18,11.0
6,167,19,2,
6,167,2,19,11.0
27,2,19,2,
27,2,2,19,11.0
39,1,19,2,
39,1,2,19,11.0
0,182,19,2,
0,182,2,19,11.0
13,164,20,2,
13,164,2,20,11.0
11,17,20,2,
11,17,2,20,11.0
12,175,20,2,
12,175,2,20,11.0
27,2,20,1,
27,2,1,20,11.0
6,174,21,2,
6,174,2,21,12.0
27,2,22,2,
27,2,2,22,12.0
15,160,22,2,
15,160,2,22,12.0
17,172,22,2,
17,172,2,22,12.0
10,33,22,2,
10,33,2,22,12.0
12,175,22,2,
12,175,2,22,12.0
13,158,23,2,
13,158,2,23,12.0
20,171,23,2,
20,171,2,23,13.0
39,183,23,2,
39,183,2,23,13.0
10,181,24,2,
10,181,2,24,13.0
11,17,24,2,
11,17,2,24,13.0
22,182,24,1,
22,182,1,24,13.0
6,173,24,1,
6,173,1,24,14.0
27,2,25,2,
27,2,2,25,14.0
17,171,25,1,
17,171,1,25,14.0
36,158,26,2,
36,158,2,26,14.0
16,183,26,2,
16,183,2,26,14.0
39,175,26,2,
39,175,2,26,14.0
43,7,26,2,
43,7,2,26,14.0
11,174,27,2,
11,174,2,27,14.0
12,175,27,2,
12,175,2,27,14.0
39,17,28,2,
39,17,2,28,14.0
9,3,28,2,
9,3,2,28,14.0
13,158,28,2,
13,158,2,28,14.0
26,161,28,2,
26,161,2,28,14.0
27,2,28,2,
27,2,2,28,14.0
22,22,29,2,
22,22,2,29,14.0
11,183,29,2,
11,183,2,29,14.0
16,183,30,2,
16,183,2,30,15.0
9,3,31,2,
9,3,2,31,15.0
35,160,31,2,
35,160,2,31,15.0
37,161,31,1,
37,161,1,31,15.0
27,2,31,2,
27,2,2,31,15.0
39,175,31,2,
39,175,2,31,16.0
12,175,31,2,
12,175,2,31,16.0
6,183,32,2,
6,183,2,32,16.0
34,200,32,2,
34,200,2,32,17.0
13,159,33,1,
13,159,1,33,17.0
16,183,33,2,
16,183,2,33,18.0
27,2,33,2,
27,2,2,33,18.0
6,183,34,2,
6,183,2,34,18.0
43,160,34,2,
43,160,2,34,18.0
39,175,34,2,
39,175,2,34,18.0
9,3,34,2,
9,3,2,34,18.0
12,175,35,2,
12,175,2,35,18.0
27,2,35,2,
27,2,2,35,19.0
33,7,35,1,
33,7,1,35,19.0
28,160,36,2,
28,160,2,36,20.0
11,183,36,2,
11,183,2,36,20.0
13,22,36,2,
13,22,2,36,20.0
22,14,36,1,
22,14,1,36,20.0
16,183,36,2,
16,183,2,36,20.0
7,160,36,2,
7,160,2,36,20.0
39,175,36,2,
39,175,2,36,20.0
27,2,37,2,
27,2,2,37,20.0
26,4,37,2,
26,4,2,37,20.0
16,24,38,1,
16,24,1,38,20.0
11,183,38,2,
11,183,2,38,20.0
2,0,38,2,
2,0,2,38,20.0
33,173,38,2,
33,173,2,38,20.0
39,175,39,2,
39,175,2,39,20.0
12,175,39,2,
12,175,2,39,20.0
0,17,40,2,
0,17,2,40,20.0
33,24,40,2,
33,24,2,40,20.0
16,173,40,2,
16,173,2,40,20.0
27,2,40,2,
27,2,2,40,21.0
12,175,41,2,
12,175,2,41,22.0
7,2,41,1,
7,2,1,41,22.0
23,3,41,1,
23,3,1,41,22.0
22,159,41,2,
22,159,2,41,22.0
39,175,42,2,
39,175,2,42,22.0
33,183,42,2,
33,183,2,42,22.0
27,2,42,2,
27,2,2,42,22.0
2,165,43,2,
2,165,2,43,22.0
16,165,43,2,
16,165,2,43,22.0
41,183,43,2,
41,183,2,43,23.0
22,1,43,2,
22,1,2,43,23.0
23,8,44,2,
23,8,2,44,23.0
27,2,44,2,
27,2,2,44,23.0
0,182,44,2,
0,182,2,44,23.0
39,175,44,2,
39,175,2,44,23.0
43,8,45,2,
43,8,2,45,23.0
2,15,45,2,
2,15,2,45,24.0
12,175,45,2,
12,175,2,45,24.0
41,17,46,2,
41,17,2,46,24.0
21,3,46,2,
21,3,2,46,25.0
39,175,46,2,
39,175,2,46,25.0
16,158,47,2,
16,158,2,47,25.0
31,3,47,2,
31,3,2,47,25.0
12,175,47,2,
12,175,2,47,25.0
27,2,47,2,
27,2,2,47,25.0
22,6,47,2,
22,6,2,47,25.0
26,3,48,2,
26,3,2,48,25.0
15,4,48,2,
15,4,2,48,25.0
9,3,48,2,
9,3,2,48,25.0
41,17,48,2,
41,17,2,48,25.0
42,3,48,2,
42,3,2,48,25.0
21,2,48,2,
21,2,2,48,25.0
35,161,48,1,
35,161,1,48,25.0
0,41,49,2,
0,41,2,49,26.0
12,183,50,2,
12,183,2,50,26.0
6,33,50,2,
6,33,2,50,26.0
22,13,50,2,
22,13,2,50,26.0
31,160,50,2,
31,160,2,50,26.0
16,2,50,2,
16,2,2,50,26.0
31,2,51,2,
31,2,2,51,26.0
12,33,51,2,
12,33,2,51,26.0
36,171,51,2,
36,171,2,51,26.0
21,1,51,2,
21,1,2,51,26.0
27,1,51,2,
27,1,2,51,26.0
39,174,51,2,
39,174,2,51,26.0
9,160,51,2,
9,160,2,51,26.0
41,17,51,2,
41,17,2,51,27.0
7,3,52,1,
7,3,1,52,27.0
16,160,52,2,
16,160,2,52,27.0
37,1,52,2,
37,1,2,52,27.0
33,183,52,2,
33,183,2,52,27.0
27,1,53,2,
27,1,2,53,29.0
23,4,53,2,
23,4,2,53,29.0
9,3,53,2,
9,3,2,53,29.0
22,180,53,2,
22,180,2,53,29.0
41,17,53,2,
41,17,2,53,29.0
39,166,53,2,
39,166,2,53,29.0
16,3,54,2,
16,3,2,54,30.0
33,183,54,2,
33,183,2,54,30.0
42,3,55,2,
42,3,2,55,30.0
29,9,55,2,
29,9,2,55,30.0
38,8,55,2,
38,8,2,55,30.0
6,183,55,1,
6,183,1,55,30.0
27,165,55,2,
