giver,receiver,amt,time,bout_id
15,14,2,8,
15,14,2,8,1.0
15,11,1,8,
15,11,1,8,1.0
15,4,2,9,
15,4,2,9,2.0
15,6,2,9,
15,6,2,9,2.0
15,9,2,9,
15,9,2,9,2.0
6,7,2,10,
6,7,2,10,3.0
3,16,2,10,
3,16,2,10,3.0
3,1,2,10,
3,1,2,10,3.0
3,13,1,10,
3,13,1,10,3.0
15,16,2,10,
15,16,2,10,3.0
13,6,1,10,
13,6,1,10,3.0
6,11,1,10,
6,11,1,10,3.0
3,12,2,11,
3,12,2,11,4.0
3,14,2,11,
3,14,2,11,4.0
3,13,2,11,
3,13,2,11,4.0
13,6,2,11,
13,6,2,11,4.0
6,8,2,12,
6,8,2,12,4.0
3,13,2,12,
3,13,2,12,4.0
3,1,2,12,
3,1,2,12,4.0
3,4,2,12,
3,4,2,12,4.0
3,6,2,12,
3,6,2,12,5.0
3,5,1,13,
3,5,1,13,5.0
5,16,1,13,
5,16,1,13,5.0
13,14,2,13,
13,14,2,13,6.0
3,7,2,13,
3,7,2,13,6.0
3,4,2,14,
3,4,2,14,6.0
3,11,2,14,
3,11,2,14,6.0
3,5,2,14,
3,5,2,14,6.0
5,10,2,14,
5,10,2,14,6.0
3,9,2,14,
3,9,2,14,6.0
3,9,2,14,
3,9,2,14,6.0
3,8,2,16,
3,8,2,16,7.0
3,4,2,16,
3,4,2,16,7.0
3,13,2,16,
3,13,2,16,7.0
3,8,2,17,
3,8,2,17,7.0
13,17,2,17,
13,17,2,17,7.0
3,16,2,17,
3,16,2,17,7.0
3,7,2,17,
3,7,2,17,7.0
15,1,2,18,
15,1,2,18,7.0
15,10,2,18,
15,10,2,18,7.0
3,13,2,18,
3,13,2,18,8.0
3,17,2,19,
3,17,2,19,8.0
13,4,2,19,
13,4,2,19,8.0
15,6,2,19,
15,6,2,19,8.0
15,11,2,19,
15,11,2,19,8.0
15,1,2,20,
15,1,2,20,8.0
15,13,2,20,
15,13,2,20,8.0
15,5,2,20,
15,5,2,20,8.0
3,7,2,20,
3,7,2,20,8.0
3,8,2,20,
3,8,2,20,8.0
3,4,2,21,
3,4,2,21,8.0
15,14,2,21,
15,14,2,21,8.0
15,6,2,21,
15,6,2,21,8.0
15,9,2,22,
15,9,2,22,8.0
3,11,2,22,
3,11,2,22,8.0
15,8,2,22,
15,8,2,22,8.0
15,1,2,22,
15,1,2,22,8.0
3,17,2,22,
3,17,2,22,9.0
3,13,1,23,
3,13,1,23,9.0
13,7,1,23,
13,7,1,23,9.0
3,6,2,24,
3,6,2,24,9.0
3,4,2,24,
3,4,2,24,9.0
3,4,2,24,
3,4,2,24,9.0
3,13,2,24,
3,13,2,24,9.0
13,16,2,24,
13,16,2,24,9.0
6,5,2,24,
6,5,2,24,9.0
5,13,2,25,
5,13,2,25,9.0
13,6,2,25,
13,6,2,25,9.0
6,1,2,25,
6,1,2,25,9.0
3,5,2,25,
3,5,2,25,9.0
5,7,2,25,
5,7,2,25,9.0
3,11,2,25,
3,11,2,25,9.0
15,7,2,30,
15,7,2,30,10.0
15,13,1,30,
15,13,1,30,10.0
13,17,1,30,
13,17,1,30,10.0
15,7,2,32,
15,7,2,32,10.0
15,5,2,32,
15,5,2,32,10.0
5,11,2,32,
5,11,2,32,10.0
15,17,1,32,
15,17,1,32,10.0
3,6,2,33,
3,6,2,33,10.0
6,5,2,33,
6,5,2,33,10.0
15,4,2,34,
15,4,2,34,11.0
15,17,2,34,
15,17,2,34,11.0
15,4,2,34,
15,4,2,34,11.0
3,16,1,34,
3,16,1,34,11.0
3,7,2,34,
3,7,2,34,11.0
15,11,2,35,
15,11,2,35,11.0
15,5,2,35,
15,5,2,35,11.0
3,4,1,35,
3,4,1,35,11.0
15,13,2,35,
15,13,2,35,11.0
13,14,2,35,
13,14,2,35,11.0
3,11,2,36,
3,11,2,36,11.0
5,13,2,36,
5,13,2,36,11.0
13,7,2,36,
13,7,2,36,11.0
3,6,2,47,
3,6,2,47,12.0
3,7,2,47,
3,7,2,47,12.0
3,13,2,48,
3,13,2,48,12.0
6,8,2,48,
6,8,2,48,12.0
13,11,2,48,
13,11,2,48,12.0
3,14,2,48,
3,14,2,48,12.0
3,13,2,50,
3,13,2,50,12.0
3,7,2,50,
3,7,2,50,12.0
15,17,2,50,
15,17,2,50,12.0
13,4,2,50,
13,4,2,50,12.0
3,13,2,51,
3,13,2,51,12.0
15,14,2,51,
15,14,2,51,12.0
3,5,2,51,
3,5,2,51,12.0
15,7,2,52,
15,7,2,52,12.0
15,14,2,52,
15,14,2,52,12.0
3,10,2,52,
3,10,2,52,12.0
3,5,2,53,
3,5,2,53,12.0
15,8,2,53,
15,8,2,53,12.0
3,6,1,53,
3,6,1,53,12.0
6,14,1,53,
6,14,1,53,12.0
3,6,2,54,
3,6,2,54,12.0
3,5,1,55,
3,5,1,55,12.0
5,8,1,55,
5,8,1,55,12.0
3,7,2,55,
3,7,2,55,12.0
3,14,2,55,
3,14,2,55,12.0
3,8,2,56,
3,8,2,56,12.0
3,10,2,56,
3,10,2,56,12.0
3,6,2,56,
3,6,2,56,12.0
3,13,2,56,
3,13,2,56,12.0
6,4,2,57,
6,4,2,57,12.0
3,17,2,57,
3,17,2,57,13.0
3,6,2,57,
3,6,2,57,13.0
3,6,2,58,
3,6,2,58,13.0
6,14,2,58,
6,14,2,58,13.0
3,10,2,58,
3,10,2,58,13.0
3,7,2,59,
3,7,2,59,13.0
3,17,2,59,
3,17,2,59,13.0
3,5,2,59,
3,5,2,59,13.0
5,9,2,60,
5,9,2,60,13.0
3,17,2,60,
3,17,2,60,13.0
3,14,2,60,
3,14,2,60,13.0
15,6,2,60,
15,6,2,60,13.0
6,8,2,61,
6,8,2,61,13.0
15,5,2,61,
15,5,2,61,13.0
3,6,2,61,
3,6,2,61,13.0
15,4,2,61,
15,4,2,61,13.0
6,7,2,61,
6,7,2,61,13.0
3,6,2,61,
3,6,2,61,13.0
15,2,2,63,
15,2,2,63,13.0
15,17,2,63,
15,17,2,63,14.0
3,13,2,63,
3,13,2,63,14.0
15,14,2,64,
15,14,2,64,14.0
3,10,2,64,
3,10,2,64,14.0
15,9,2,64,
15,9,2,64,14.0
15,6,1,64,
15,6,1,64,14.0
6,1,1,64,
6,1,1,64,14.0
3,4,2,64,
3,4,2,64,14.0
15,10,2,65,
15,10,2,65,14.0
3,13,2,65,
3,13,2,65,14.0
13,17,2,65,
13,17,2,65,14.0
3,7,2,66,
3,7,2,66,15.0
3,5,2,66,
3,5,2,66,15.0
3,13,1,66,
3,13,1,66,15.0
15,10,1,67,
15,10,1,67,15.0
13,8,1,67,
13,8,1,67,15.0
5,14,2,67,
5,14,2,67,15.0
3,6,2,72,
3,6,2,72,15.0
6,8,2,72,
6,8,2,72,15.0
3,13,2,72,
3,13,2,72,15.0
13,7,2,72,
13,7,2,72,15.0
3,16,2,73,
3,16,2,73,15.0
3,13,2,73,
3,13,2,73,15.0
13,4,2,73,
13,4,2,73,15.0
3,17,2,74,
3,17,2,74,16.0
3,7,2,75,
3,7,2,75,16.0
3,10,2,75,
3,10,2,75,16.0
3,5,2,75,
3,5,2,75,16.0
5,4,2,75,
5,4,2,75,16.0
3,9,2,76,
3,9,2,76,16.0
3,5,1,76,
3,5,1,76,16.0
5,17,1,76,
5,17,1,76,16.0
3,10,2,77,
3,10,2,77,16.0
3,14,2,77,
3,14,2,77,16.0
3,13,2,77,
3,13,2,77,16.0
3,6,2,77,
3,6,2,77,16.0
13,4,2,77,
13,4,2,77,16.0
3,7,2,78,
3,7,2,78,16.0
3,13,2,78,
3,13,2,78,16.0
13,5,2,79,
13,5,2,79,16.0
5,13,2,79,
5,13,2,79,16.0
3,5,2,80,
3,5,2,80,16.0
5,6,2,80,
5,6,2,80,16.0
3,5,2,80,
3,5,2,80,16.0
5,14,2,80,
5,14,2,80,16.0
3,9,2,80,
3,9,2,80,16.0
3,13,2,81,
3,13,2,81,16.0
6,5,2,81,
6,5,2,81,16.0
5,6,2,81,
5,6,2,81,16.0
13,4,2,81,
13,4,2,81,16.0
6,7,2,81,
6,7,2,81,16.0
3,13,2,82,
3,13,2,82,16.0
13,14,2,82,
13,14,2,82,16.0
3,10,2,82,
3,10,2,82,16.0
3,10,1,82,
3,10,1,82,16.0
3,7,2,86,
3,7,2,86,17.0
3,6,2,86,
3,6,2,86,17.0
3,13,1,86,
3,13,1,86,17.0
13,10,1,86,
13,10,1,86,17.0
6,4,2,86,
6,4,2,86,17.0
15,14,2,88,
15,14,2,88,18.0
15,6,2,88,
15,6,2,88,18.0
15,11,2,88,
15,11,2,88,18.0
15,4,2,88,
15,4,2,88,18.0
6,7,2,88,
6,7,2,88,18.0
15,6,2,89,
15,6,2,89,18.0
15,12,2,89,
15,12,2,89,18.0
15,5,2,89,
15,5,2,89,19.0
15,13,2,90,
15,13,2,90,19.0
15,9,2,90,
15,9,2,90,19.0
5,0,2,90,
5,0,2,90,19.0
13,10,2,90,
13,10,2,90,19.0
15,6,2,90,
15,6,2,90,19.0
15,13,2,91,
15,13,2,91,19.0
13,12,2,91,
13,12,2,91,19.0
15,7,2,93,
15,7,2,93,20.0
15,0,2,94,
15,0,2,94,20.0
3,6,2,94,
3,6,2,94,20.0
15,6,1,94,
15,6,1,94,20.0
6,8,2,94,
6,8,2,94,20.0
6,13,1,95,
6,13,1,95,20.0
3,7,2,95,
3,7,2,95,20.0
3,8,2,95,
3,8,2,95,20.0
3,12,2,96,
3,12,2,96,20.0
3,7,2,97,
3,7,2,97,20.0
3,8,2,97,
3,8,2,97,20.0
15,13,2,99,
15,13,2,99,21.0
13,10,2,99,
13,10,2,99,21.0
15,6,2,100,
15,6,2,100,21.0
6,0,2,100,
6,0,2,100,21.0
15,6,2,100,
15,6,2,100,21.0
6,12,2,100,
6,12,2,100,21.0
15,5,2,100,
15,5,2,100,21.0
15,5,2,101,
15,5,2,101,21.0
5,16,2,102,
5,16,2,102,21.0
5,9,2,102,
5,9,2,102,21.0
15,7,2,102,
15,7,2,102,21.0
15,13,2,103,
15,13,2,103,21.0
13,6,2,103,
13,6,2,103,21.0
6,14,2,103,
6,14,2,103,21.0
15,7,2,104,
15,7,2,104,21.0
15,13,2,104,
15,13,2,104,21.0
13,10,2,104,
13,10,2,104,21.0
3,6,2,105,
3,6,2,105,21.0
3,8,2,105,
3,8,2,105,21.0
6,5,2,105,
6,5,2,105,21.0
3,16,2,105,
3,16,2,105,21.0
15,13,2,106,
15,13,2,106,21.0
3,16,2,106,
3,16,2,106,21.0
13,14,2,106,
13,14,2,106,21.0
15,7,2,107,
15,7,2,107,21.0
15,8,2,107,
15,8,2,107,22.0
15,0,2,107,
15,0,2,107,22.0
15,5,2,107,
15,5,2,107,22.0
5,13,2,108,
5,13,2,108,22.0
15,5,2,108,
15,5,2,108,22.0
15,7,2,109,
15,7,2,109,22.0
15,6,2,109,
15,6,2,109,22.0
15,5,1,110,
15,5,1,110,22.0
6,0,2,110,
6,0,2,110,22.0
15,6,2,112,
15,6,2,112,23.0
15,7,2,112,
15,7,2,112,23.0
6,13,2,112,
6,13,2,112,23.0
15,16,1,112,
15,16,1,112,23.0
15,8,2,113,
15,8,2,113,23.0
15,6,1,114,
15,6,1,114,23.0
6,0,1,114,
6,0,1,114,23.0
15,7,2,115,
15,7,2,115,24.0
3,5,2,115,
3,5,2,115,24.0
15,8,2,115,
15,8,2,115,24.0
15,13,2,115,
15,13,2,115,24.0
3,13,1,116,
3,13,1,116,24.0
15,7,2,116,
15,7,2,116,24.0
15,0,2,117,
15,0,2,117,24.0
15,5,2,117,
15,5,2,117,24.0
15,6,2,117,
15,6,2,117,24.0
13,14,1,118,
13,14,1,118,24.0
6,8,2,118,
6,8,2,118,24.0
15,7,2,118,
15,7,2,118,24.0
15,6,2,118,
15,6,2,118,24.0
15,5,2,119,
15,5,2,119,25.0
5,8,2,120,
5,8,2,120,25.0
15,13,2,120,
15,13,2,120,25.0
13,7,2,120,
13,7,2,120,25.0
15,5,2,120,
15,5,2,120,25.0
15,6,2,120,
15,6,2,120,25.0
6,0,2,121,
6,0,2,121,25.0
5,6,2,121,
5,6,2,121,25.0
6,16,2,121,
6,16,2,121,25.0
15,13,2,121,
15,13,2,121,25.0
15,5,2,121,
15,5,2,121,25.0
13,14,2,122,
13,14,2,122,25.0
15,13,1,123,
15,13,1,123,25.0
13,5,1,124,
13,5,1,124,25.0
15,13,2,124,
15,13,2,124,25.0
15,10,2,124,
15,10,2,124,25.0
5,6,1,125,
5,6,1,125,25.0
15,13,2,125,
15,13,2,125,25.0
13,16,2,125,
13,16,2,125,25.0
6,10,1,126,
6,10,1,126,25.0
15,14,2,126,
15,14,2,126,25.0
15,14,2,128,
15,14,2,128,26.0
15,6,2,128,
15,6,2,128,26.0
6,16,2,129,
6,16,2,129,26.0
3,13,2,129,
3,13,2,129,26.0
15,5,2,129,
15,5,2,129,26.0
3,8,2,129,
3,8,2,129,26.0
3,6,2,130,
3,6,2,130,26.0
15,10,2,130,
15,10,2,130,26.0
3,5,2,130,
