wasp_id,cell_id,amt,time,bout_id
25,165,4,1,
25,165,1,4,2.0
0,172,4,2,
0,172,2,4,2.0
11,7,4,2,
11,7,2,4,2.0
18,15,4,2,
18,15,2,4,2.0
10,173,4,2,
10,173,2,4,2.0
26,164,4,2,
26,164,2,4,4.0
6,6,4,2,
6,6,2,4,4.0
7,3,5,2,
7,3,2,5,6.0
17,7,5,2,
17,7,2,5,6.0
6,159,5,2,
6,159,2,5,6.0
4,160,5,2,
4,160,2,5,6.0
24,15,6,1,
24,15,1,6,6.0
23,1,6,2,
23,1,2,6,6.0
11,14,6,2,
11,14,2,6,7.0
14,172,6,2,
14,172,2,6,7.0
18,173,6,2,
18,173,2,6,7.0
9,13,7,1,
9,13,1,7,8.0
19,14,7,2,
19,14,2,7,8.0
4,3,7,2,
4,3,2,7,8.0
6,7,7,1,
6,7,1,7,8.0
7,3,7,2,
7,3,2,7,8.0
25,3,7,2,
25,3,2,7,8.0
8,173,7,2,
8,173,2,7,8.0
13,0,7,2,
13,0,2,7,8.0
26,171,7,2,
26,171,2,7,8.0
11,22,8,2,
11,22,2,8,9.0
0,15,8,2,
0,15,2,8,9.0
24,14,8,2,
24,14,2,8,9.0
16,167,8,2,
16,167,2,8,9.0
14,171,9,2,
14,171,2,9,9.0
25,160,9,1,
25,160,1,9,9.0
26,164,9,2,
26,164,2,9,9.0
18,15,9,2,
18,15,2,9,9.0
6,173,9,2,
6,173,2,9,9.0
23,1,9,2,
23,1,2,9,10.0
8,14,9,2,
8,14,2,9,10.0
17,1,10,2,
17,1,2,10,10.0
3,3,10,2,
3,3,2,10,10.0
15,160,10,2,
15,160,2,10,10.0
19,158,10,2,
19,158,2,10,10.0
0,7,10,2,
0,7,2,10,10.0
18,14,10,2,
18,14,2,10,10.0
13,158,10,2,
13,158,2,10,10.0
4,160,10,2,
4,160,2,10,10.0
7,1,10,2,
7,1,2,10,10.0
25,8,11,1,
25,8,1,11,10.0
24,22,11,2,
24,22,2,11,10.0
20,167,12,2,
20,167,2,12,11.0
0,2,12,2,
0,2,2,12,11.0
7,1,13,2,
7,1,2,13,11.0
23,159,13,2,
23,159,2,13,11.0
0,2,13,2,
0,2,2,13,11.0
4,3,13,2,
4,3,2,13,12.0
25,7,13,2,
25,7,2,13,12.0
6,181,13,2,
