giver,receiver,amt,time,bout_id
14,0,2,1,
14,0,2,1,1.0
14,8,2,1,
14,8,2,1,1.0
14,10,2,1,
14,10,2,1,1.0
0,11,2,1,
0,11,2,1,1.0
14,20,2,1,
14,20,2,1,1.0
14,21,2,1,
14,21,2,1,1.0
21,17,2,1,
21,17,2,1,1.0
17,2,2,1,
17,2,2,1,1.0
22,6,2,2,
22,6,2,2,2.0
22,17,2,2,
22,17,2,2,2.0
17,16,2,2,
17,16,2,2,3.0
14,23,2,2,
14,23,2,2,3.0
22,19,2,2,
22,19,2,2,3.0
22,4,2,3,
22,4,2,3,3.0
16,25,2,3,
16,25,2,3,3.0
14,2,1,3,
14,2,1,3,3.0
22,21,2,3,
22,21,2,3,4.0
22,18,2,3,
22,18,2,3,4.0
22,11,2,3,
22,11,2,3,4.0
22,20,2,3,
22,20,2,3,5.0
14,3,2,3,
14,3,2,3,5.0
14,5,1,3,
14,5,1,3,5.0
14,0,2,4,
14,0,2,4,6.0
14,23,2,4,
14,23,2,4,6.0
22,5,2,4,
22,5,2,4,6.0
14,16,2,4,
14,16,2,4,6.0
14,17,2,4,
14,17,2,4,6.0
17,1,2,4,
17,1,2,4,6.0
5,24,2,4,
5,24,2,4,6.0
0,11,2,5,
0,11,2,5,6.0
5,9,1,5,
5,9,1,5,6.0
14,23,2,5,
14,23,2,5,6.0
22,21,2,5,
22,21,2,5,6.0
21,10,2,5,
21,10,2,5,7.0
22,5,2,5,
22,5,2,5,7.0
22,4,2,5,
22,4,2,5,7.0
5,20,2,6,
5,20,2,6,7.0
22,2,2,6,
22,2,2,6,7.0
22,19,2,6,
22,19,2,6,7.0
22,0,2,6,
22,0,2,6,7.0
22,0,2,6,
22,0,2,6,7.0
0,5,2,6,
0,5,2,6,7.0
22,3,2,7,
22,3,2,7,7.0
22,17,2,7,
22,17,2,7,7.0
17,21,2,7,
17,21,2,7,7.0
5,17,2,7,
5,17,2,7,7.0
17,23,2,7,
17,23,2,7,7.0
21,10,2,7,
21,10,2,7,7.0
14,2,2,8,
14,2,2,8,8.0
14,18,2,8,
14,18,2,8,8.0
14,0,1,8,
14,0,1,8,8.0
0,17,1,8,
0,17,1,8,8.0
17,5,1,9,
17,5,1,9,8.0
14,24,2,9,
14,24,2,9,9.0
14,10,1,9,
14,10,1,9,9.0
5,16,1,9,
5,16,1,9,9.0
14,18,2,10,
14,18,2,10,9.0
14,0,2,10,
14,0,2,10,9.0
14,5,1,10,
14,5,1,10,9.0
0,3,2,10,
0,3,2,10,9.0
5,10,1,11,
5,10,1,11,9.0
14,23,2,11,
14,23,2,11,10.0
14,24,1,11,
14,24,1,11,10.0
14,2,2,12,
14,2,2,12,11.0
14,5,2,13,
14,5,2,13,11.0
14,21,1,13,
14,21,1,13,11.0
21,18,1,13,
21,18,1,13,11.0
14,0,2,14,
14,0,2,14,12.0
14,20,2,15,
14,20,2,15,12.0
14,24,2,15,
14,24,2,15,12.0
14,3,2,15,
14,3,2,15,12.0
14,10,2,15,
14,10,2,15,12.0
14,23,2,15,
14,23,2,15,12.0
22,17,2,17,
22,17,2,17,13.0
17,25,2,17,
17,25,2,17,13.0
22,17,2,17,
22,17,2,17,13.0
22,0,1,17,
22,0,1,17,13.0
17,24,2,17,
17,24,2,17,13.0
14,5,2,17,
14,5,2,17,13.0
0,21,1,18,
0,21,1,18,13.0
14,16,1,18,
14,16,1,18,13.0
16,20,1,18,
16,20,1,18,13.0
21,0,1,18,
21,0,1,18,13.0
5,19,2,18,
5,19,2,18,14.0
22,17,2,18,
22,17,2,18,14.0
17,16,2,19,
17,16,2,19,14.0
16,18,2,19,
16,18,2,19,14.0
14,5,2,19,
14,5,2,19,14.0
14,17,2,19,
14,17,2,19,14.0
22,21,2,19,
22,21,2,19,14.0
21,23,2,19,
21,23,2,19,14.0
14,21,1,19,
14,21,1,19,14.0
17,10,2,20,
17,10,2,20,14.0
22,25,1,20,
22,25,1,20,14.0
21,17,1,20,
21,17,1,20,14.0
14,18,2,21,
14,18,2,21,14.0
17,7,1,21,
17,7,1,21,14.0
14,10,2,21,
14,10,2,21,14.0
