wasp_id,cell_id,amt,time,bout_id
58,173,4,2,
58,173,2,4,1.0
56,166,4,2,
56,166,2,4,2.0
60,173,4,2,
60,173,2,4,3.0
65,6,4,2,
65,6,2,4,3.0
5,173,4,2,
5,173,2,4,3.0
40,15,5,2,
40,15,2,5,4.0
71,24,5,2,
71,24,2,5,4.0
38,14,5,2,
38,14,2,5,5.0
54,2,5,2,
54,2,2,5,5.0
41,173,6,2,
41,173,2,6,5.0
15,164,6,2,
15,164,2,6,6.0
60,15,6,2,
60,15,2,6,6.0
16,2,6,2,
16,2,2,6,6.0
57,3,6,2,
57,3,2,6,7.0
5,15,6,2,
5,15,2,6,7.0
10,182,6,2,
10,182,2,6,7.0
56,2,6,2,
56,2,2,6,7.0
30,3,7,2,
30,3,2,7,7.0
50,25,7,2,
50,25,2,7,7.0
40,7,7,2,
40,7,2,7,7.0
47,33,7,2,
47,33,2,7,7.0
66,166,7,2,
66,166,2,7,7.0
65,13,7,2,
65,13,2,7,8.0
0,180,7,2,
0,180,2,7,8.0
69,172,8,2,
69,172,2,8,8.0
58,165,8,2,
58,165,2,8,8.0
27,22,8,2,
27,22,2,8,8.0
41,166,8,2,
41,166,2,8,8.0
74,183,8,2,
74,183,2,8,9.0
34,3,8,2,
34,3,2,8,10.0
66,8,8,2,
66,8,2,8,10.0
32,23,8,2,
32,23,2,8,10.0
40,159,9,2,
40,159,2,9,11.0
12,172,9,2,
12,172,2,9,11.0
14,173,9,2,
14,173,2,9,11.0
54,17,9,2,
54,17,2,9,11.0
41,8,9,1,
41,8,1,9,11.0
74,25,10,2,
74,25,2,10,11.0
66,15,10,2,
66,15,2,10,11.0
71,34,10,2,
71,34,2,10,11.0
61,158,10,2,
61,158,2,10,11.0
56,2,10,2,
56,2,2,10,11.0
33,158,10,2,
33,158,2,10,11.0
7,23,11,2,
7,23,2,11,11.0
54,184,11,2,
54,184,2,11,11.0
58,1,11,2,
58,1,2,11,11.0
65,180,11,2,
65,180,2,11,11.0
14,24,11,2,
14,24,2,11,11.0
66,182,12,1,
66,182,1,12,12.0
12,164,12,2,
12,164,2,12,13.0
5,173,12,2,
5,173,2,12,13.0
32,7,12,2,
32,7,2,12,13.0
40,158,12,2,
40,158,2,12,13.0
41,166,12,2,
41,166,2,12,13.0
2,3,12,1,
2,3,1,12,13.0
74,24,12,2,
74,24,2,12,13.0
38,6,12,1,
38,6,1,12,13.0
44,4,12,2,
44,4,2,12,14.0
3,14,12,2,
3,14,2,12,14.0
0,2,12,2,
0,2,2,12,14.0
58,1,13,2,
58,1,2,13,14.0
61,159,13,2,
61,159,2,13,14.0
69,173,13,2,
69,173,2,13,14.0
56,2,13,2,
56,2,2,13,14.0
73,16,14,2,
73,16,2,14,14.0
0,2,14,2,
0,2,2,14,14.0
3,6,14,2,
3,6,2,14,14.0
60,6,14,2,
60,6,2,14,14.0
32,2,14,2,
32,2,2,14,14.0
5,24,14,2,
5,24,2,14,14.0
74,15,14,1,
74,15,1,14,15.0
7,164,14,2,
7,164,2,14,15.0
62,3,15,1,
62,3,1,15,16.0
58,165,15,2,
58,165,2,15,16.0
33,158,15,2,
33,158,2,15,16.0
41,160,15,2,
41,160,2,15,16.0
61,1,15,2,
61,1,2,15,16.0
73,17,15,2,
73,17,2,15,16.0
69,7,15,2,
69,7,2,15,16.0
65,24,16,2,
65,24,2,16,16.0
0,2,16,2,
0,2,2,16,16.0
6,2,16,2,
6,2,2,16,16.0
60,159,16,2,
60,159,2,16,16.0
56,1,16,2,
56,1,2,16,16.0
64,3,16,2,
64,3,2,16,16.0
57,2,16,2,
57,2,2,16,16.0
14,175,16,2,
14,175,2,16,16.0
35,5,16,2,
35,5,2,16,16.0
2,3,16,2,
2,3,2,16,17.0
30,3,17,1,
30,3,1,17,17.0
38,1,17,2,
38,1,2,17,17.0
