wasp_id,cell_id,amt,time,bout_id
22,14,3,2,
22,14,2,3,1.0
34,14,3,2,
34,14,2,3,2.0
42,174,3,2,
42,174,2,3,2.0
26,160,4,2,
26,160,2,4,2.0
3,181,4,2,
3,181,2,4,2.0
43,23,4,2,
43,23,2,4,3.0
42,175,5,2,
42,175,2,5,3.0
41,23,5,2,
41,23,2,5,3.0
33,173,5,2,
33,173,2,5,3.0
17,172,5,2,
17,172,2,5,3.0
7,24,5,2,
7,24,2,5,3.0
19,181,6,2,
19,181,2,6,5.0
29,183,7,2,
29,183,2,7,5.0
4,327,7,2,
4,327,2,7,5.0
27,1,7,2,
27,1,2,7,5.0
38,182,7,2,
38,182,2,7,5.0
0,328,7,2,
0,328,2,7,5.0
26,4,7,2,
26,4,2,7,5.0
33,2,8,2,
33,2,2,8,5.0
42,17,8,2,
42,17,2,8,5.0
19,173,8,2,
19,173,2,8,5.0
23,4,8,2,
23,4,2,8,5.0
26,4,9,2,
26,4,2,9,5.0
11,23,9,2,
11,23,2,9,5.0
7,173,10,2,
7,173,2,10,7.0
42,17,11,2,
42,17,2,11,7.0
27,7,11,2,
27,7,2,11,8.0
25,165,11,2,
25,165,2,11,8.0
33,2,11,2,
33,2,2,11,8.0
7,7,13,2,
7,7,2,13,8.0
34,165,13,2,
34,165,2,13,8.0
36,15,13,2,
36,15,2,13,8.0
10,171,13,2,
10,171,2,13,9.0
26,4,13,2,
26,4,2,13,9.0
19,171,14,1,
19,171,1,14,10.0
33,2,14,2,
33,2,2,14,10.0
17,182,14,2,
17,182,2,14,10.0
7,14,15,2,
7,14,2,15,10.0
26,4,15,2,
26,4,2,15,10.0
11,14,15,2,
11,14,2,15,10.0
34,2,15,2,
34,2,2,15,10.0
36,1,16,2,
36,1,2,16,10.0
27,1,16,2,
27,1,2,16,10.0
42,17,16,2,
42,17,2,16,11.0
34,160,17,2,
34,160,2,17,11.0
26,4,17,1,
26,4,1,17,11.0
42,17,18,2,
42,17,2,18,11.0
37,3,18,2,
37,3,2,18,11.0
15,3,18,2,
15,3,2,18,11.0
34,8,19,1,
34,8,1,19,11.0
