cell_id,x,y,feeds,last_fed,hunger,distance_from_center,is_periphery
0,7.758,8.167,12,370,63,0.9545411706154949,False
158,7.666,8.229,47,397,150,1.043351314946216,False
164,7.696,7.886,13,399,104,0.7188439096215533,False
159,8.049,8.141,6,383,116,0.8856354139260694,False
6,7.913,7.858,14,387,98,0.6160610735957917,False
1,8.149,8.167,36,385,139,0.9179658416302864,False
165,8.166,7.808,20,360,50,0.5665437021095551,False
172,7.853,7.533,11,347,71,0.3353145484466787,False
171,7.411,7.612,34,397,171,0.7239919657012773,False
13,7.563,7.539,12,385,65,0.5558681915706271,False
7,8.324,7.755,18,397,161,0.5741462238837772,False
14,7.964,7.477,21,393,115,0.23462285992630813,False
2,8.674,8.105,92,390,169,1.0594375330334496,False
173,8.245,7.318,26,341,93,0.2133122743772613,False
166,8.588,7.612,12,365,140,0.6529050822286501,False
180,7.49,7.19,14,332,91,0.5549471383834669,False
15,8.396,7.364,24,368,63,0.3711632611129517,False
22,7.666,7.107,10,349,46,0.403370259687051,False
8,8.746,7.632,13,328,78,0.7992119658763887,False
181,7.911,7.004,24,353,58,0.28305965166374386,False
160,8.902,7.906,63,397,145,1.0791031491011414,False
23,8.098,7.014,20,371,82,0.24801985081843753,False
319,7.313,6.892,5,289,41,0.8137321711718167,False
3,9.116,7.961,208,398,149,1.2858166146072316,True
174,8.656,7.102,12,367,60,0.6337650719312335,False
31,7.316,6.829,6,267,11,0.8411646488054518,False
16,8.87,7.272,22,369,133,0.8290861996197983,False
189,7.137,6.867,11,313,81,0.9839792713263827,False
167,8.98,7.386,20,292,25,0.9479594539852443,False
32,7.769,6.695,8,393,167,0.6229572107295965,False
24,8.551,6.922,22,363,106,0.609240483224811,False
182,8.323,6.798,12,266,43,0.5373021928114574,False
190,7.539,6.7,8,358,73,0.7487011996784826,False
328,7.923,6.667,10,247,2,0.6001311909907698,False
312,6.667,7.062,5,396,115,1.3876236544539005,True
306,6.371,7.403,9,328,42,1.676589683375153,True
9,9.23,7.539,24,396,160,1.2222764525261882,True
327,7.645,6.533,8,246,18,0.8238574672842378,False
161,9.362,7.73,21,375,133,1.4035935331854459,True
318,6.945,6.712,8,396,115,1.223386662670473,True
33,8.19,6.541,15,288,21,0.7297564843151443,False
191,7.98,6.484,12,389,169,0.7738144004863179,False
4,9.528,7.827,95,365,132,1.5930027138708849,True
175,9.068,6.926,16,305,13,1.078456789305905,False
183,8.735,6.632,26,301,7,0.9328196644582493,False
41,7.357,6.366,8,344,50,1.1220507147183674,False
200,7.206,6.396,8,343,46,1.1983017009084138,True
326,7.241,6.38,12,347,112,1.1859397819451032,False
17,9.23,7.014,72,370,112,1.2131795936298975,True
199,6.578,6.71,7,330,96,1.5614301926118876,True
