giver,receiver,amt,time,bout_id
1,19,2,13,
1,19,2,13,1.0
1,5,2,14,
1,5,2,14,1.0
1,51,2,14,
1,51,2,14,1.0
1,53,2,14,
1,53,2,14,1.0
1,31,2,14,
1,31,2,14,2.0
1,18,2,14,
1,18,2,14,2.0
1,17,1,14,
1,17,1,14,2.0
15,7,2,15,
15,7,2,15,3.0
15,2,1,15,
15,2,1,15,3.0
2,32,1,15,
2,32,1,15,3.0
32,48,1,15,
32,48,1,15,3.0
48,52,1,15,
48,52,1,15,3.0
52,22,1,15,
52,22,1,15,4.0
1,28,2,15,
1,28,2,15,4.0
1,0,2,15,
1,0,2,15,4.0
1,57,1,15,
1,57,1,15,4.0
22,63,1,15,
22,63,1,15,4.0
1,19,2,16,
1,19,2,16,5.0
1,37,1,16,
1,37,1,16,5.0
15,45,2,16,
15,45,2,16,6.0
15,2,2,16,
15,2,2,16,6.0
15,52,2,16,
15,52,2,16,6.0
15,4,2,16,
15,4,2,16,6.0
52,54,2,16,
52,54,2,16,6.0
2,20,2,17,
2,20,2,17,6.0
4,47,2,17,
4,47,2,17,6.0
20,0,2,17,
20,0,2,17,6.0
47,66,2,17,
47,66,2,17,6.0
15,64,2,17,
15,64,2,17,8.0
15,8,2,18,
15,8,2,18,8.0
15,10,2,18,
15,10,2,18,8.0
15,41,2,18,
15,41,2,18,8.0
1,37,2,18,
1,37,2,18,8.0
1,17,2,18,
1,17,2,18,8.0
1,7,1,18,
1,7,1,18,8.0
41,52,2,18,
41,52,2,18,8.0
52,9,2,18,
52,9,2,18,8.0
9,42,2,18,
9,42,2,18,8.0
42,4,2,18,
42,4,2,18,8.0
4,55,2,18,
4,55,2,18,8.0
1,48,2,18,
1,48,2,18,9.0
1,31,2,18,
1,31,2,18,9.0
1,2,2,18,
1,2,2,18,9.0
2,51,2,18,
2,51,2,18,9.0
1,32,2,18,
1,32,2,18,9.0
48,19,2,18,
48,19,2,18,9.0
32,57,2,19,
32,57,2,19,10.0
1,3,2,19,
1,3,2,19,10.0
3,69,2,19,
3,69,2,19,10.0
1,5,2,19,
1,5,2,19,10.0
1,42,1,19,
1,42,1,19,10.0
42,64,1,19,
42,64,1,19,10.0
64,47,1,19,
64,47,1,19,10.0
47,20,1,19,
47,20,1,19,10.0
20,63,1,19,
20,63,1,19,10.0
15,45,2,19,
15,45,2,19,11.0
15,9,2,19,
15,9,2,19,11.0
9,2,2,19,
9,2,2,19,11.0
2,52,2,20,
2,52,2,20,11.0
52,64,2,20,
52,64,2,20,11.0
15,48,2,20,
15,48,2,20,11.0
15,2,2,20,
15,2,2,20,11.0
48,46,2,20,
48,46,2,20,11.0
2,41,2,20,
2,41,2,20,11.0
41,8,2,20,
41,8,2,20,11.0
64,32,2,20,
64,32,2,20,11.0
46,6,2,20,
46,6,2,20,11.0
32,21,2,20,
32,21,2,20,11.0
1,3,2,20,
1,3,2,20,12.0
1,19,2,21,
1,19,2,21,12.0
21,51,2,21,
21,51,2,21,12.0
15,52,2,21,
15,52,2,21,12.0
1,9,2,21,
1,9,2,21,12.0
9,18,2,21,
9,18,2,21,12.0
15,64,2,21,
15,64,2,21,12.0
1,46,2,21,
1,46,2,21,12.0
15,4,2,21,
15,4,2,21,12.0
4,21,2,21,
4,21,2,21,12.0
46,56,2,21,
46,56,2,21,12.0
15,2,2,21,
15,2,2,21,12.0
15,10,2,21,
15,10,2,21,12.0
2,32,2,21,
2,32,2,21,12.0
21,22,2,21,
21,22,2,21,12.0
52,63,2,21,
52,63,2,21,13.0
1,20,2,21,
1,20,2,21,13.0
22,3,2,22,
22,3,2,22,13.0
32,42,2,22,
32,42,2,22,13.0
3,41,2,22,
3,41,2,22,13.0
41,32,2,22,
41,32,2,22,13.0
20,2,2,22,
20,2,2,22,13.0
2,52,2,22,
2,52,2,22,13.0
42,22,2,22,
42,22,2,22,13.0
52,48,2,22,
52,48,2,22,13.0
48,9,2,22,
48,9,2,22,13.0
1,45,1,22,
1,45,1,22,13.0
9,47,2,22,
9,47,2,22,13.0
47,46,2,22,
47,46,2,22,13.0
46,53,2,22,
46,53,2,22,13.0
32,59,2,22,
32,59,2,22,13.0
59,6,2,22,
59,6,2,22,13.0
15,47,2,23,
15,47,2,23,13.0
47,64,2,23,
47,64,2,23,13.0
64,17,2,23,
64,17,2,23,13.0
15,19,1,23,
15,19,1,23,13.0
28,9,2,23,
28,9,2,23,13.0
9,54,2,23,
9,54,2,23,13.0
22,10,2,23,
22,10,2,23,13.0
1,20,2,23,
1,20,2,23,14.0
20,42,2,23,
20,42,2,23,14.0
42,47,2,23,
42,47,2,23,14.0
47,3,2,23,
47,3,2,23,14.0
1,63,2,23,
1,63,2,23,14.0
3,21,2,24,
3,21,2,24,14.0
1,64,2,24,
1,64,2,24,14.0
64,2,2,24,
64,2,2,24,14.0
2,7,2,24,
2,7,2,24,14.0
21,32,2,24,
21,32,2,24,14.0
1,57,2,24,
1,57,2,24,14.0
1,41,2,24,
1,41,2,24,14.0
41,45,2,24,
41,45,2,24,14.0
15,48,2,24,
15,48,2,24,15.0
15,55,2,24,
15,55,2,24,15.0
15,46,2,24,
15,46,2,24,15.0
32,3,2,24,
32,3,2,24,15.0
1,64,2,25,
1,64,2,25,15.0
48,19,2,25,
48,19,2,25,15.0
3,59,2,25,
3,59,2,25,15.0
64,5,2,25,
64,5,2,25,15.0
59,48,2,25,
59,48,2,25,15.0
1,42,1,25,
1,42,1,25,15.0
48,20,2,25,
48,20,2,25,15.0
15,51,2,25,
15,51,2,25,15.0
42,47,1,25,
42,47,1,25,15.0
1,41,2,25,
1,41,2,25,16.0
41,9,2,25,
41,9,2,25,16.0
1,32,1,25,
1,32,1,25,16.0
47,4,1,25,
47,4,1,25,16.0
15,52,2,25,
15,52,2,25,16.0
9,22,2,25,
9,22,2,25,16.0
22,3,2,25,
22,3,2,25,16.0
20,6,2,25,
20,6,2,25,16.0
15,64,1,26,
15,64,1,26,16.0
52,9,2,26,
52,9,2,26,16.0
9,22,2,26,
9,22,2,26,16.0
4,10,1,26,
4,10,1,26,16.0
22,55,2,26,
22,55,2,26,16.0
64,59,1,26,
