giver,receiver,amt,time,bout_id
16,8,2,2,
16,8,2,2,1.0
16,34,2,2,
16,34,2,2,1.0
16,4,2,2,
16,4,2,2,1.0
16,11,2,2,
16,11,2,2,1.0
16,12,2,2,
16,12,2,2,1.0
1,18,2,3,
1,18,2,3,2.0
1,13,2,3,
1,13,2,3,3.0
18,15,2,3,
18,15,2,3,3.0
16,31,2,3,
16,31,2,3,3.0
16,19,2,4,
16,19,2,4,3.0
1,31,2,4,
1,31,2,4,3.0
15,6,2,4,
15,6,2,4,3.0
1,34,2,4,
1,34,2,4,3.0
31,7,2,4,
31,7,2,4,3.0
1,5,2,4,
1,5,2,4,3.0
16,18,1,4,
16,18,1,4,3.0
18,8,1,4,
18,8,1,4,3.0
6,27,2,4,
6,27,2,4,3.0
27,14,2,4,
27,14,2,4,3.0
1,17,2,5,
1,17,2,5,5.0
16,11,2,6,
16,11,2,6,5.0
16,26,1,6,
16,26,1,6,5.0
1,20,2,6,
1,20,2,6,5.0
1,6,2,6,
1,6,2,6,5.0
1,13,2,6,
1,13,2,6,5.0
13,34,2,6,
13,34,2,6,5.0
1,15,2,6,
1,15,2,6,6.0
6,4,2,6,
6,4,2,6,6.0
15,5,2,6,
15,5,2,6,6.0
16,27,2,7,
16,27,2,7,7.0
27,14,2,7,
27,14,2,7,7.0
16,6,2,7,
16,6,2,7,7.0
16,5,2,7,
16,5,2,7,7.0
16,8,2,8,
16,8,2,8,7.0
16,18,2,8,
16,18,2,8,7.0
6,26,2,8,
6,26,2,8,7.0
18,20,2,8,
18,20,2,8,7.0
1,31,2,8,
1,31,2,8,7.0
16,34,2,8,
16,34,2,8,7.0
31,27,2,8,
31,27,2,8,7.0
1,3,2,8,
1,3,2,8,7.0
1,13,1,8,
1,13,1,8,7.0
1,15,2,8,
1,15,2,8,8.0
16,31,2,9,
16,31,2,9,8.0
13,11,1,9,
13,11,1,9,8.0
16,13,2,9,
16,13,2,9,8.0
16,18,2,9,
16,18,2,9,8.0
18,2,2,9,
18,2,2,9,8.0
27,6,2,9,
27,6,2,9,8.0
16,27,2,9,
16,27,2,9,8.0
27,31,2,10,
27,31,2,10,8.0
1,3,1,10,
1,3,1,10,8.0
31,14,2,10,
31,14,2,10,9.0
6,18,2,10,
6,18,2,10,9.0
18,5,2,10,
18,5,2,10,9.0
16,6,2,10,
16,6,2,10,9.0
16,15,1,11,
16,15,1,11,9.0
15,27,1,11,
15,27,1,11,9.0
13,0,2,11,
13,0,2,11,9.0
27,31,1,11,
27,31,1,11,9.0
31,11,1,11,
31,11,1,11,9.0
16,27,2,12,
16,27,2,12,9.0
16,34,2,12,
16,34,2,12,9.0
16,10,1,12,
16,10,1,12,9.0
27,31,2,12,
27,31,2,12,9.0
31,27,2,12,
31,27,2,12,9.0
27,6,2,12,
27,6,2,12,9.0
6,31,2,13,
6,31,2,13,9.0
31,15,2,13,
31,15,2,13,9.0
15,27,2,13,
15,27,2,13,9.0
27,11,2,13,
27,11,2,13,9.0
16,3,2,14,
16,3,2,14,10.0
16,13,2,14,
16,13,2,14,10.0
13,9,2,14,
13,9,2,14,10.0
16,3,2,14,
16,3,2,14,10.0
16,6,2,14,
16,6,2,14,10.0
6,15,2,14,
6,15,2,14,10.0
15,31,2,14,
15,31,2,14,10.0
31,20,2,14,
31,20,2,14,10.0
16,15,2,15,
16,15,2,15,11.0
16,9,2,16,
16,9,2,16,11.0
15,18,2,16,
15,18,2,16,11.0
16,14,1,16,
16,14,1,16,11.0
18,13,2,16,
18,13,2,16,12.0
13,20,2,16,
13,20,2,16,12.0
16,6,2,16,
16,6,2,16,12.0
6,28,2,16,
6,28,2,16,12.0
16,15,2,16,
16,15,2,16,12.0
16,14,2,17,
16,14,2,17,12.0
15,18,2,17,
15,18,2,17,12.0
18,0,2,17,
18,0,2,17,13.0
16,15,2,17,
16,15,2,17,13.0
1,13,2,17,
1,13,2,17,13.0
1,26,2,17,
1,26,2,17,13.0
1,6,2,18,
1,6,2,18,13.0
1,9,2,18,
1,9,2,18,13.0
1,34,2,18,
1,34,2,18,13.0
16,13,2,19,
16,13,2,19,13.0
1,15,2,19,
1,15,2,19,13.0
13,20,2,19,
13,20,2,19,13.0
16,27,2,19,
16,27,2,19,13.0
15,18,2,19,
15,18,2,19,13.0
16,29,2,19,
16,29,2,19,13.0
16,12,2,19,
16,12,2,19,13.0
16,13,2,20,
16,13,2,20,13.0
12,26,2,20,
12,26,2,20,13.0
1,14,2,20,
1,14,2,20,14.0
1,9,2,20,
1,9,2,20,14.0
1,11,2,20,
1,11,2,20,14.0
1,34,2,21,
1,34,2,21,14.0
1,18,2,21,
1,18,2,21,14.0
18,6,2,22,
18,6,2,22,14.0
6,27,2,22,
6,27,2,22,14.0
