wasp_id,cell_id,amt,time,bout_id
20,161,2,2,
20,161,2,2,1.0
44,158,3,2,
44,158,2,3,4.0
18,166,3,2,
18,166,2,3,4.0
13,173,3,1,
13,173,1,3,4.0
14,17,4,2,
14,17,2,4,4.0
40,15,5,2,
40,15,2,5,4.0
14,16,5,1,
14,16,1,5,4.0
13,15,5,2,
13,15,2,5,4.0
41,181,5,2,
41,181,2,5,4.0
4,7,5,2,
4,7,2,5,4.0
46,172,5,1,
46,172,1,5,5.0
48,23,6,2,
48,23,2,6,6.0
17,34,6,2,
17,34,2,6,7.0
44,0,6,2,
44,0,2,6,7.0
31,175,7,1,
31,175,1,7,9.0
51,4,7,2,
51,4,2,7,9.0
19,6,7,2,
19,6,2,7,9.0
50,24,7,1,
50,24,1,7,9.0
13,173,7,2,
13,173,2,7,9.0
40,168,8,2,
40,168,2,8,9.0
14,166,8,2,
14,166,2,8,9.0
53,13,8,2,
53,13,2,8,9.0
50,15,8,2,
50,15,2,8,9.0
4,159,8,1,
4,159,1,8,9.0
32,15,8,2,
32,15,2,8,9.0
18,201,8,2,
18,201,2,8,9.0
42,4,9,2,
42,4,2,9,9.0
40,161,9,1,
40,161,1,9,9.0
13,174,9,2,
13,174,2,9,9.0
5,26,10,2,
5,26,2,10,10.0
14,2,10,1,
14,2,1,10,10.0
32,165,10,2,
32,165,2,10,10.0
7,43,10,2,
7,43,2,10,11.0
19,183,11,2,
19,183,2,11,11.0
30,201,11,2,
30,201,2,11,11.0
35,171,11,2,
35,171,2,11,11.0
52,190,12,2,
52,190,2,12,11.0
14,2,12,2,
14,2,2,12,11.0
46,0,12,2,
46,0,2,12,11.0
11,164,12,2,
11,164,2,12,11.0
31,18,12,2,
31,18,2,12,11.0
50,7,13,2,
50,7,2,13,12.0
2,23,13,2,
2,23,2,13,12.0
20,3,13,2,
20,3,2,13,12.0
7,202,13,2,
7,202,2,13,12.0
45,43,13,2,
45,43,2,13,13.0
32,158,13,2,
32,158,2,13,14.0
11,0,14,2,
11,0,2,14,14.0
8,160,15,2,
8,160,2,15,15.0
14,2,15,2,
14,2,2,15,15.0
40,1,15,1,
40,1,1,15,15.0
16,328,15,1,
16,328,1,15,16.0
13,193,16,2,
13,193,2,16,16.0
6,3,16,2,
6,3,2,16,16.0
50,2,16,2,
50,2,2,16,16.0
15,171,16,1,
15,171,1,16,16.0
55,173,16,2,
55,173,2,16,16.0
31,18,16,2,
31,18,2,16,16.0
47,41,16,1,
47,41,1,16,16.0
14,2,16,2,
14,2,2,16,16.0
50,2,17,2,
50,2,2,17,16.0
35,164,17,2,
35,164,2,17,17.0
10,174,18,2,
10,174,2,18,17.0
32,158,18,2,
32,158,2,18,18.0
44,164,18,2,
44,164,2,18,18.0
55,14,19,2,
55,14,2,19,18.0
50,2,19,2,
50,2,2,19,18.0
35,165,19,2,
35,165,2,19,18.0
6,2,20,2,
6,2,2,20,18.0
26,3,20,2,
26,3,2,20,18.0
4,1,20,2,
4,1,2,20,18.0
3,23,20,2,
3,23,2,20,18.0
31,18,20,2,
31,18,2,20,18.0
50,2,21,2,
50,2,2,21,19.0
12,167,21,2,
12,167,2,21,19.0
10,13,21,2,
10,13,2,21,19.0
35,2,21,2,
35,2,2,21,19.0
14,13,22,2,
14,13,2,22,20.0
31,18,22,2,
31,18,2,22,20.0
48,181,22,2,
48,181,2,22,20.0
5,26,22,2,
5,26,2,22,20.0
50,2,23,2,
50,2,2,23,21.0
35,2,23,2,
35,2,2,23,21.0
46,3,23,2,
46,3,2,23,21.0
7,193,23,2,
7,193,2,23,21.0
6,2,24,2,
6,2,2,24,21.0
31,18,24,2,
31,18,2,24,21.0
26,3,24,2,
26,3,2,24,21.0
22,8,25,2,
22,8,2,25,21.0
23,3,25,2,
23,3,2,25,21.0
35,2,25,2,
35,2,2,25,21.0
46,3,25,2,
46,3,2,25,21.0
12,2,25,2,
12,2,2,25,21.0
5,173,26,2,
5,173,2,26,21.0
29,160,26,2,
29,160,2,26,21.0
4,1,26,1,
4,1,1,26,21.0
32,158,26,2,
32,158,2,26,21.0
31,18,26,2,
31,18,2,26,21.0
12,2,26,2,
12,2,2,26,21.0
50,2,26,2,
50,2,2,26,22.0
40,158,26,2,
40,158,2,26,22.0
35,2,27,2,
35,2,2,27,22.0
44,16,27,2,
44,16,2,27,22.0
46,3,28,2,
46,3,2,28,22.0
44,175,28,2,
