scenario,nest_size,observed_path_length,observed_direction_score,greedy_path_length,greedy_direction_score,random_path_length,biased_path_length,biased_direction_score,tsp_path_length
baseline,20,1.0212708187764403,0.5,1.0212708187764403,0.5,1.1537664844262026,1.0212708187764403,0.5,1.8614005706600412
baseline,30,2.845167308154972,-1.0,1.8672422179560406,-0.25,2.469369867900793,1.8672422179560406,-0.25,2.7073719698396412
baseline,50,5.7543965765601826,-0.875,4.275393112085903,-0.375,5.7543965765601826,4.958472074238575,-1.0,4.443995306727645
baseline,80,4.3949524085575895,-1.0,2.4264204902711755,0.75,3.763751432027639,4.812839431462525,-1.0,4.691210325995454
low_forager,20,1.0212708187764403,0.5,1.0212708187764403,0.5,1.1537664844262026,1.0212708187764403,0.5,1.8614005706600412
low_forager,30,4.066457653332179,-0.8333333333333334,2.965378645244532,0.0,2.965378645244532,2.965378645244532,0.0,3.82244923743633
low_forager,50,10.98089319881655,-0.6666666666666666,5.977660724185723,0.0,8.835610412957918,11.401795181229165,-0.6111111111111112,6.0118860446196
high_forager,20,3.8522240989524517,-0.875,2.3763439624171707,0.625,4.8171115731346825,2.3763439624171707,0.625,3.392084578913332
high_forager,30,3.7586877989027023,-0.625,2.1593816486576443,0.25,3.814153240031791,2.7050242390025945,0.0,2.9259789855006053
high_forager,80,5.861428457968382,-0.4,4.221158939318992,0.2,5.633004745140114,4.634535106930652,-0.1,5.994173321207689
low_ratio,50,0.9442321294692768,0.5,0.9442321294692768,0.5,1.0366250269244779,1.0366250269244779,-1.0,1.821596363980806
high_ratio,20,5.7748706288636855,-0.8125,3.7492290382776337,-0.0625,6.118364279570126,3.869643802465011,0.1875,3.785036490886539
high_ratio,80,17.730625464726614,-0.38461538461538464,5.955676305091575,0.5,15.175835012116282,8.308180362512559,-0.3076923076923077,6.415134114886848
