wasp_id,cell_id,time
23,88,155
16,63,160
10,64,161
15,103,163
3,76,169
16,84,171
3,56,173
7,55,175
7,67,177
0,56,180
0,46,181
9,95,182
2,93,184
9,96,185
2,78,188
7,47,190
2,73,195
3,35,198
6,95,201
6,106,202
6,107,204
20,82,210
20,89,214
15,54,220
0,67,235
10,45,240
3,68,242
3,45,245
19,69,249
3,34,250
8,96,252
9,103,261
3,54,263
23,117,266
23,94,267
3,58,270
19,90,272
23,118,273
9,115,276
20,67,279
20,55,284
20,34,287
6,48,289
19,91,291
19,41,294
17,93,300
17,136,301
8,106,303
8,83,306
21,133,309
10,23,314
19,24,315
2,60,322
1,103,328
1,128,329
3,31,332
11,130,336
4,78,338
4,65,339
7,51,340
7,102,341
4,52,342
20,25,345
20,42,346
7,62,347
6,58,350
7,61,352
6,84,356
11,117,357
7,114,358
10,44,358
6,108,360
7,72,361
7,113,362
11,129,363
9,125,366
10,23,368
24,110,368
4,14,372
6,116,372
6,114,375
9,124,378
10,36,378
24,86,379
18,126,381
6,108,382
9,139,384
4,112,388
9,147,389
3,35,390
4,115,392
4,83,393
4,135,394
4,130,397
4,131,399
9,125,401
9,132,404
24,85,405
4,145,409
8,49,410
20,13,410
3,28,413
13,153,420
23,44,422
23,34,423
23,24,424
24,119,424
13,120,429
23,8,433
23,15,436
3,41,449
9,157,451
10,73,452
11,148,455
1,131,456
2,37,462
10,74,462
23,16,465
4,128,468
21,35,471
0,158,472
21,17,472
16,60,473
21,27,475
21,27,477
13,140,482
3,62,488
21,18,490
20,10,491
21,18,491
15,19,498
3,28,499
1,155,503
6,149,506
17,136,507
15,11,511
6,141,520
0,150,528
2,12,530
6,120,534
15,40,539
20,20,544
15,30,546
15,50,551
3,29,553
20,31,559
3,22,560
15,61,566
8,22,568
1,132,572
23,12,581
15,122,587
24,142,591
4,129,598
23,13,615
15,133,617
23,21,617
13,111,621
6,98,622
19,110,623
8,112,630
8,123,635
11,111,643
0,21,645
1,87,650
24,100,657
11,75,660
19,74,662
8,62,664
2,88,670
6,63,674
2,64,675
6,103,675
6,76,677
2,84,679
6,56,681
6,55,682
13,67,682
2,56,683
13,46,684
2,95,687
2,93,688
2,96,690
2,78,693
6,47,695
2,73,698
8,35,701
7,95,704
2,106,706
7,107,706
13,82,706
7,89,708
2,54,713
7,67,713
7,45,715
11,68,715
6,45,717
11,34,718
20,69,727
6,96,729
6,103,733
6,54,735
1,117,738
6,94,738
1,58,741
8,90,743
1,118,746
8,115,746
11,67,747
11,55,749
8,34,751
15,48,752
7,91,758
8,41,758
19,93,758
7,136,763
15,106,764
15,83,765
8,133,769
11,23,775
15,24,775
8,60,785
13,103,785
17,128,788
10,31,791
17,130,792
11,78,795
13,65,796
13,51,798
17,102,799
15,11,511
23,12,581
23,16,465
21,18,491
23,21,617
3,22,560
10,23,368
23,24,424
21,27,477
3,28,499
15,30,546
20,31,559
3,34,250
11,34,718
21,35,471
10,36,378
15,40,539
3,41,449
20,42,346
3,45,245
6,45,717
8,49,410
15,50,551
4,52,342
7,55,175
6,55,682
6,58,350
16,60,473
15,61,566
8,62,664
0,67,235
7,67,713
3,68,242
11,68,715
10,74,462
11,75,660
4,78,338
11,78,795
24,86,379
1,87,650
19,91,291
7,91,758
2,93,184
2,93,688
9,95,182
2,95,687
9,96,185
2,96,690
24,100,657
7,102,341
17,102,799
9,103,261
6,103,733
6,106,202
2,106,706
6,107,204
7,107,706
6,108,360
24,110,368
13,111,621
8,112,630
7,114,358
4,115,392
23,117,266
1,117,738
23,118,273
1,118,746
13,120,429
15,122,587
8,123,635
9,125,366
1,128,329
17,128,788
11,129,363
11,130,336
17,130,792
1,131,456
1,132,572
15,133,617
4,135,394
17,136,301
7,136,763
9,139,384
13,140,482
6,141,520
24,142,591
4,145,409
9,147,389
11,148,455
6,149,506
0,150,528
13,153,420
1,155,503
9,157,451
0,158,472
23,8,433
20,10,491
2,12,530
23,13,615
23,15,436
21,17,472
21,18,490
15,19,498
20,20,544
0,21,645
8,22,568
21,27,475
3,28,413
3,29,553
3,31,332
10,31,791
23,34,423
3,35,390
23,44,422
10,45,240
7,45,715
0,46,181
13,46,684
7,47,190
6,47,695
6,48,289
15,48,752
15,54,220
2,54,713
20,55,284
11,55,749
0,56,180
2,56,683
3,58,270
1,58,741
3,62,488
4,65,339
13,65,796
20,67,279
11,67,747
10,73,452
19,74,662
2,78,188
2,78,693
20,82,210
13,82,706
8,83,306
15,83,765
6,84,356
24,85,405
19,90,272
8,90,743
6,98,622
15,103,163
6,103,675
19,110,623
11,111,643
4,112,388
7,113,362
6,114,375
9,115,276
8,115,746
6,116,372
11,117,357
24,119,424
6,120,534
9,124,378
9,125,401
18,126,381
4,128,468
4,129,598
4,130,397
4,131,399
9,132,404
21,133,309
8,133,769
17,136,507
20,13,410
4,14,372
10,23,314
11,23,775
19,24,315
15,24,775
20,25,345
20,34,287
8,34,751
3,35,198
8,35,701
2,37,462
19,41,294
8,41,758
10,44,358
7,51,340
13,51,798
3,54,263
6,54,735
3,56,173
6,56,681
2,60,322
8,60,785
7,61,352
7,62,347
16,63,160
6,63,674
10,64,161
2,64,675
7,67,177
13,67,682
19,69,249
20,69,727
7,72,361
2,73,195
2,73,698
3,76,169
6,76,677
4,83,393
16,84,171
2,84,679
23,88,155
2,88,670
20,89,214
7,89,708
17,93,300
19,93,758
23,94,267
6,94,738
6,95,201
7,95,704
8,96,252
6,96,729
1,103,328
13,103,785
8,106,303
15,106,764
6,108,382
