giver,receiver,time
22,8,149
22,23,152
22,6,154
22,10,156
22,16,158
22,9,160
22,15,162
22,7,165
22,3,168
22,16,170
22,3,172
22,0,174
22,7,176
22,0,180
22,2,182
22,9,184
22,2,187
22,7,189
22,2,193
22,3,197
22,6,201
22,6,203
22,17,206
22,20,209
22,20,213
22,15,219
22,1,223
22,19,228
22,18,232
22,0,234
22,10,239
22,3,241
22,3,244
22,3,249
22,4,254
22,9,260
22,3,262
22,23,265
22,23,267
22,3,269
22,19,271
22,23,273
22,9,275
22,20,278
22,20,283
22,20,286
22,6,288
22,19,290
22,19,293
22,17,300
22,8,302
22,8,305
12,21,309
22,10,313
12,19,315
12,2,321
14,1,328
12,3,331
12,11,335
14,4,338
22,7,339
12,7,340
14,4,341
12,20,345
22,20,345
14,7,346
22,6,349
14,7,351
12,11,355
14,6,355
14,10,357
22,7,357
12,6,359
14,7,360
22,7,361
12,11,362
14,9,365
22,10,367
12,24,368
14,4,371
22,6,371
22,6,374
12,10,377
14,9,377
22,24,379
12,6,381
14,9,383
12,4,387
14,9,388
12,3,389
22,4,391
12,4,392
14,4,393
22,4,396
14,4,398
12,9,400
14,9,402
12,24,405
14,4,407
12,8,408
22,20,408
12,3,412
22,13,419
12,23,420
14,23,423
12,23,424
22,24,424
22,13,428
12,23,433
14,23,436
22,9,446
14,3,447
14,10,449
22,11,451
14,1,454
22,2,458
14,10,461
12,23,463
22,0,466
14,4,467
12,21,470
22,16,471
14,21,472
12,21,475
14,21,477
22,13,479
22,3,485
14,20,487
22,21,487
12,21,491
14,15,492
14,3,498
12,1,499
14,6,505
12,17,506
22,15,510
22,6,517
12,2,523
14,0,524
22,6,533
22,15,538
12,20,540
22,15,545
12,15,551
22,3,551
22,20,558
12,3,559
12,15,565
22,8,567
12,1,569
14,23,581
14,15,585
22,24,589
22,4,595
12,23,612
22,19,612
12,15,616
14,23,617
22,13,617
12,6,620
22,8,628
22,8,634
22,11,640
12,0,642
12,1,646
12,24,653
22,19,653
22,8,657
12,11,658
22,2,664
22,6,670
12,13,672
22,2,672
12,6,674
22,6,675
12,2,676
22,6,677
12,2,679
12,6,681
22,13,683
12,2,684
22,2,687
12,2,688
12,2,690
12,6,692
22,2,693
12,8,694
14,7,698
14,13,702
14,2,704
12,7,705
14,7,706
22,11,706
12,2,708
14,7,708
12,7,713
14,6,713
12,11,715
22,20,718
12,6,726
22,6,730
14,1,732
22,6,733
12,8,735
14,6,735
14,1,738
12,11,740
12,1,742
22,8,743
14,15,745
12,8,746
12,11,748
22,7,750
14,8,756
12,19,757
22,11,757
12,7,759
14,15,759
12,8,764
14,15,765
12,15,767
22,17,773
14,13,780
12,8,781
12,11,787
14,10,787
14,17,790
22,10,792
14,13,793
12,15,795
14,17,796
22,13,796
22,18,798
