n_foragers,perception,forward_bias,rep,gini,mean_latency
1,0.8,0.3,0,0.4201183431952662,1.7346938775510203
1,0.8,0.3,1,0.4674556213017751,2.2666666666666666
1,0.8,0.3,2,0.5325443786982249,2.759493670886076
1,0.8,0.3,3,0.4319526627218935,0.625
1,0.8,0.3,4,0.5325443786982249,3.8860759493670884
1,0.8,0.3,5,0.4556213017751478,1.6956521739130435
1,0.8,0.7,0,0.6923076923076923,2.25
1,0.8,0.7,1,0.6449704142011834,0.9666666666666667
1,0.8,0.7,2,0.9763313609467454,2.75
1,0.8,0.7,3,0.7928994082840237,3.4857142857142858
1,0.8,0.7,4,0.4319526627218935,1.3645833333333333
1,0.8,0.7,5,0.5680473372781065,2.3013698630136985
1,0.8,0.95,0,0.544378698224852,1.922077922077922
1,0.8,0.95,1,0.7218934911242603,3.617021276595745
1,0.8,0.95,2,0.6568047337278107,3.5517241379310347
1,0.8,0.95,3,0.7988165680473371,2.6176470588235294
1,0.8,0.95,4,0.6213017751479291,3.15625
1,0.8,0.95,5,0.9171597633136095,1.5
1,1.2,0.3,0,0.3846153846153846,1.3269230769230769
1,1.2,0.3,1,0.31360946745562135,0.4224137931034483
1,1.2,0.3,2,0.49112426035502965,1.7674418604651163
1,1.2,0.3,3,0.4201183431952662,0.9183673469387755
1,1.2,0.3,4,0.39644970414201186,1.0686274509803921
1,1.2,0.3,5,0.29585798816568043,2.142857142857143
1,1.2,0.7,0,0.5029585798816567,2.761904761904762
1,1.2,0.7,1,0.16568047337278102,1.1063829787234043
1,1.2,0.7,2,0.3905325443786982,3.203883495145631
1,1.2,0.7,3,0.20710059171597628,0.9776119402985075
1,1.2,0.7,4,0.3905325443786982,0.33980582524271846
1,1.2,0.7,5,0.3076923076923077,0.5470085470085471
1,1.2,0.95,0,0.2721893491124261,1.853658536585366
1,1.2,0.95,1,0.20118343195266264,1.7333333333333334
1,1.2,0.95,2,0.33136094674556205,1.8761061946902655
1,1.2,0.95,3,0.5088757396449703,2.0120481927710845
1,1.2,0.95,4,0.4023668639053255,2.5445544554455446
1,1.2,0.95,5,0.8875739644970413,1.894736842105263
1,2.0,0.3,0,0.029585798816567976,0.8292682926829268
1,2.0,0.3,1,0.0,
1,2.0,0.3,2,0.017751479289940697,0.7650602409638554
1,2.0,0.3,3,0.11834319526627213,0.5906040268456376
1,2.0,0.3,4,0.10650887573964485,0.5099337748344371
1,2.0,0.3,5,0.017751479289940697,0.7590361445783133
1,2.0,0.7,0,0.2248520710059172,0.8091603053435115
1,2.0,0.7,1,0.07692307692307687,1.455128205128205
1,2.0,0.7,2,0.00591715976331364,1.0
1,2.0,0.7,3,0.24852071005917153,0.8976377952755905
1,2.0,0.7,4,0.2721893491124261,0.35772357723577236
1,2.0,0.7,5,0.3905325443786982,0.7864077669902912
1,2.0,0.95,0,0.07829841675995519,1.2594594594594595
1,2.0,0.95,1,0.4023668639053255,1.0594059405940595
1,2.0,0.95,2,0.0,
1,2.0,0.95,3,0.04305820211947986,0.8531073446327684
1,2.0,0.95,4,0.195266272189349,1.3823529411764706
1,2.0,0.95,5,0.18934911242603558,0.34306569343065696
2,0.8,0.3,0,0.2721893491124261,2.203252032520325
2,0.8,0.3,1,0.2899408284023668,0.7333333333333333
2,0.8,0.3,2,0.5325443786982249,3.189873417721519
2,0.8,0.3,3,0.26627218934911245,1.8225806451612903
2,0.8,0.3,4,0.20710059171597628,1.1791044776119404
2,0.8,0.3,5,0.41420118343195256,2.7676767676767677
2,0.8,0.7,0,0.30177514792899407,1.1101694915254237
2,0.8,0.7,1,0.18934911242603558,1.4744525547445255
2,0.8,0.7,2,0.6153846153846154,1.2
2,0.8,0.7,3,0.3550295857988166,0.5779816513761468
2,0.8,0.7,4,0.2603550295857988,2.76
2,0.8,0.7,5,0.23076923076923084,0.7615384615384615
2,0.8,0.95,0,0.23076923076923084,1.123076923076923
2,0.8,0.95,1,0.39644970414201186,1.9803921568627452
2,0.8,0.95,2,0.2426035502958579,1.3125
2,0.8,0.95,3,0.3727810650887573,2.1037735849056602
2,0.8,0.95,4,0.2899408284023668,1.6
2,0.8,0.95,5,0.18934911242603558,1.905109489051095
2,1.2,0.3,0,0.08284023668639051,1.8064516129032258
2,1.2,0.3,1,0.07100591715976323,1.1019108280254777
2,1.2,0.3,2,0.08875739644970415,0.8311688311688312
2,1.2,0.3,3,0.2426035502958579,2.3125
2,1.2,0.3,4,0.08875739644970415,1.6753246753246753
2,1.2,0.3,5,0.0,1.6331360946745561
2,1.2,0.7,0,0.0,1.0236686390532543
2,1.2,0.7,1,0.04786915763579547,0.949438202247191
2,1.2,0.7,2,0.011557493338869795,0.7134502923976608
2,1.2,0.7,3,0.12399274478903388,1.2814070351758795
2,1.2,0.7,4,0.15384615384615374,1.867132867132867
2,1.2,0.7,5,0.01183431952662728,1.4610778443113772
2,1.2,0.95,0,0.1301775147928994,0.891156462585034
2,1.2,0.95,1,0.18343195266272194,0.9492753623188406
2,1.2,0.95,2,0.035502958579881616,1.2453987730061349
2,1.2,0.95,3,0.08220398294839981,1.075268817204301
2,1.2,0.95,4,0.1301775147928994,1.401360544217687
2,1.2,0.95,5,0.05713346482577242,0.7555555555555555
2,2.0,0.3,0,0.16760589837512918,0.38095238095238093
2,2.0,0.3,1,0.10980296468004624,1.1185567010309279
2,2.0,0.3,2,0.08875739644970415,1.1168831168831168
2,2.0,0.3,3,0.029585798816567976,1.170731707317073
2,2.0,0.3,4,0.1310974972295984,0.4416961130742049
2,2.0,0.3,5,0.01183431952662728,1.1437125748502994
2,2.0,0.7,0,0.0824547539656535,0.7231270358306189
2,2.0,0.7,1,0.13605240912933225,0.6357142857142857
2,2.0,0.7,2,0.164894600591716,0.80078125
2,2.0,0.7,3,0.11465510253708344,0.5342465753424658
2,2.0,0.7,4,0.168179353591551,0.6294820717131474
2,2.0,0.7,5,0.10018897735369747,1.1099476439790577
