foragers,perception,forward_bias,gini
1,0.8,0.3,0.8725961538461537
1,0.8,0.3,0.8028846153846152
1,0.8,0.3,0.7788461538461537
1,0.8,0.3,0.7980769230769229
1,0.8,0.7,0.9495192307692306
1,0.8,0.7,0.8870192307692306
1,0.8,0.7,0.8509615384615383
1,0.8,0.7,0.7788461538461537
1,0.8,0.95,0.8629807692307692
1,0.8,0.95,0.8701923076923075
1,0.8,0.95,0.9158653846153846
1,0.8,0.95,0.8197115384615383
1,1.2,0.3,0.9591346153846152
1,1.2,0.3,0.6490384615384615
1,1.2,0.3,0.7620192307692306
1,1.2,0.3,0.6682692307692306
1,1.2,0.7,0.7427884615384615
1,1.2,0.7,0.7403846153846152
1,1.2,0.7,0.7043269230769229
1,1.2,0.7,0.7163461538461537
1,1.2,0.95,0.6947115384615383
1,1.2,0.95,0.6850961538461537
1,1.2,0.95,0.7403846153846152
1,1.2,0.95,0.8125
1,2.0,0.3,0.6466346153846152
1,2.0,0.3,0.6201923076923075
1,2.0,0.3,0.5408653846153846
1,2.0,0.3,0.596153846153846
1,2.0,0.7,0.5576923076923075
1,2.0,0.7,0.6466346153846152
1,2.0,0.7,0.627403846153846
1,2.0,0.7,0.5552884615384615
1,2.0,0.95,0.6346153846153846
1,2.0,0.95,0.5745192307692306
1,2.0,0.95,0.7235576923076923
1,2.0,0.95,0.5384615384615383
2,0.8,0.3,0.7331730769230769
2,0.8,0.3,0.7451923076923075
2,0.8,0.3,0.8557692307692306
2,0.8,0.3,0.6490384615384615
2,0.8,0.7,0.8028846153846152
2,0.8,0.7,0.7067307692307692
2,0.8,0.7,0.6802884615384615
2,0.8,0.7,0.7115384615384615
2,0.8,0.95,0.9158653846153846
2,0.8,0.95,0.8052884615384615
2,0.8,0.95,0.90625
2,0.8,0.95,0.8653846153846152
2,1.2,0.3,0.6730769230769229
2,1.2,0.3,0.5552884615384615
2,1.2,0.3,0.6225961538461537
2,1.2,0.3,0.6490384615384615
2,1.2,0.7,0.6418269230769229
2,1.2,0.7,0.6298076923076923
2,1.2,0.7,0.5408653846153846
2,1.2,0.7,0.627403846153846
2,1.2,0.95,0.7548076923076923
2,1.2,0.95,0.9134615384615383
2,1.2,0.95,0.59375
2,1.2,0.95,0.6201923076923075
2,2.0,0.3,0.5793269230769229
2,2.0,0.3,0.3533653846153846
2,2.0,0.3,0.2980769230769229
2,2.0,0.3,0.3485576923076923
2,2.0,0.7,0.3221153846153846
2,2.0,0.7,0.33653846153846145
2,2.0,0.7,0.4182692307692306
2,2.0,0.7,0.5096153846153846
2,2.0,0.95,0.33173076923076916
2,2.0,0.95,0.36778846153846145
2,2.0,0.95,0.35817307692307687
2,2.0,0.95,0.3173076923076923
3,0.8,0.3,0.6610576923076923
3,0.8,0.3,0.6658653846153846
3,0.8,0.3,0.6201923076923075
3,0.8,0.3,0.6634615384615383
3,0.8,0.7,0.6394230769230769
3,0.8,0.7,0.6826923076923075
3,0.8,0.7,0.627403846153846
3,0.8,0.7,0.7451923076923075
3,0.8,0.95,0.7307692307692306
3,0.8,0.95,0.6225961538461537
3,0.8,0.95,0.7427884615384615
3,0.8,0.95,0.78125
3,1.2,0.3,0.46153846153846145
3,1.2,0.3,0.4447115384615383
3,1.2,0.3,0.6105769230769229
3,1.2,0.3,0.533653846153846
3,1.2,0.7,0.45673076923076916
3,1.2,0.7,0.4951923076923075
3,1.2,0.7,0.3605769230769229
3,1.2,0.7,0.5144230769230769
3,1.2,0.95,0.4855769230769229
3,1.2,0.95,0.6490384615384615
3,1.2,0.95,0.49278846153846145
3,1.2,0.95,0.564903846153846
3,2.0,0.3,0.19471153846153832
3,2.0,0.3,0.32692307692307687
3,2.0,0.3,0.13701923076923062
3,2.0,0.3,0.2403846153846152
3,2.0,0.7,0.36298076923076916
3,2.0,0.7,0.16586538461538458
3,2.0,0.7,0.16826923076923062
3,2.0,0.7,0.4855769230769229
3,2.0,0.95,0.31490384615384603
3,2.0,0.95,0.125
3,2.0,0.95,0.20192307692307687
3,2.0,0.95,0.25240384615384603
4,0.8,0.3,0.5384615384615383
4,0.8,0.3,0.6057692307692306
4,0.8,0.3,0.5721153846153846
4,0.8,0.3,0.4783653846153846
4,0.8,0.7,0.5769230769230769
4,0.8,0.7,0.5600961538461537
4,0.8,0.7,0.4951923076923075
4,0.8,0.7,0.5576923076923075
4,0.8,0.95,0.4903846153846152
4,0.8,0.95,0.6754807692307692
4,0.8,0.95,0.5288461538461537
4,0.8,0.95,0.6971153846153846
4,1.2,0.3,0.33653846153846145
4,1.2,0.3,0.36778846153846145
4,1.2,0.3,0.40865384615384603
4,1.2,0.3,0.6418269230769229
4,1.2,0.7,0.3798076923076923
4,1.2,0.7,0.4014423076923075
4,1.2,0.7,0.5144230769230769
4,1.2,0.7,0.34375
4,1.2,0.95,0.3557692307692306
4,1.2,0.95,0.4807692307692306
4,1.2,0.95,0.3389423076923075
4,1.2,0.95,0.7331730769230769
4,2.0,0.3,0.13942307692307687
4,2.0,0.3,0.10336538461538458
4,2.0,0.3,0.08653846153846145
4,2.0,0.3,0.12019230769230749
4,2.0,0.7,0.40625
4,2.0,0.7,0.29567307692307687
4,2.0,0.7,0.024038461538461453
4,2.0,0.7,0.18028846153846145
4,2.0,0.95,0.03125
4,2.0,0.95,0.09134615384615374
4,2.0,0.95,0.0024038461538460343
4,2.0,0.95,0.15865384615384603
